time,open,high,low,close,tick_volume,spread,real_volume
2024-12-01,312.48,348.15,290.08,320.63,134498,30,0
2025-01-01,321.65,380.43,314.78,377.65,127869,30,0
2025-02-01,375.75,429.6,366.18,374.08,159714,30,0
2025-03-01,376.4,418.18,370.58,378.53,131155,30,0
2025-04-01,379.18,418.73,323.8,398.93,160951,30,0
2025-05-01,398.75,398.75,341.1,341.98,125641,30,0
2025-06-01,340.65,372.13,293.1,297.7,128908,30,0
2025-07-01,297.93,310.35,277.18,294.55,178931,30,0
2025-08-01,293.33,391.05,280.6,383.65,153077,30,0
2025-09-01,376.23,423.75,349.4,374.13,172879,20,0
2025-10-01,372.9,437.68,366.78,392.85,195156,30,0
2025-11-01,392.93,415.63,375.5,388.3,37427,30,0
