time,open,high,low,close,tick_volume,spread,real_volume
2024-12-01,11581.5,12150.9,11304.7,11600.4,201273,420,0
2025-01-01,11602.9,12477.0,11454.5,12320.8,253997,420,0
2025-02-01,12143.3,13348.1,12101.0,13228.9,238088,420,0
2025-03-01,13352.6,13519.6,12706.0,13149.8,745083,40,0
2025-04-01,13151.5,13481.8,11229.4,13258.4,1104976,20,0
2025-05-01,13388.2,14367.8,13312.4,14116.7,708899,80,0
2025-06-01,14089.3,14293.2,13688.0,13993.8,784557,40,0
2025-07-01,13999.8,14593.6,13727.0,14385.8,764414,80,0
2025-08-01,14321.0,15448.0,14057.0,14928.1,518434,100,0
2025-09-01,14943.8,15533.0,14640.0,15531.3,683416,20,0
2025-10-01,15487.8,16206.3,15345.8,16032.7,1144038,300,0
2025-11-01,16056.7,16200.2,15756.0,16183.4,350792,300,0
