time,open,high,low,close,tick_volume,spread,real_volume
2024-12-01,7226.95,7521.9,7124.2,7384.4,501374,30,0
2025-01-01,7367.9,7996.4,7267.0,7906.75,676470,30,0
2025-02-01,7770.75,8227.5,7703.75,8101.05,616573,50,0
2025-03-01,8113.45,8301.3,7751.5,7808.5,2651086,0,0
2025-04-01,7809.17,7936.5,6743.75,7616.35,2848098,0,0
2025-05-01,7674.18,7956.4,7605.0,7747.5,2040269,0,0
2025-06-01,7746.97,7850.2,7493.0,7681.6,1241793,5,0
2025-07-01,7675.8,7979.2,7610.9,7769.1,517462,120,0
2025-08-01,7744.9,8004.5,7521.9,7708.5,461492,120,0
2025-09-01,7724.2,7936.2,7645.6,7921.7,501586,120,0
2025-10-01,7891.8,8273.1,7823.9,8122.2,593375,120,0
2025-11-01,8128.9,8151.5,7906.3,8066.9,136167,120,0
