time,open,high,low,close,tick_volume,spread,real_volume
2024-12-01,1.11932,1.13952,1.1155599999999999,1.13546,2136363,1,0
2025-01-01,1.134,1.1379,1.10876,1.12882,2527568,1,0
2025-02-01,1.1242,1.1423,1.11902,1.13571,2305003,0,0
2025-03-01,1.13468,1.15027,1.12987,1.14215,2567081,0,0
2025-04-01,1.14193,1.14849,1.06108,1.10138,3047812,0,0
2025-05-01,1.09883,1.12064,1.09147,1.10692,2474963,0,0
2025-06-01,1.1072899999999999,1.1156,1.08783,1.08919,2335739,0,0
2025-07-01,1.08825,1.08956,1.06699,1.07236,2230281,0,0
2025-08-01,1.07196,1.09608,1.06559,1.08038,2348343,0,0
2025-09-01,1.07742,1.08595,1.06528,1.07037,2489582,0,0
2025-10-01,1.06966,1.07796,1.05009,1.05755,2610787,0,0
2025-11-01,1.05362,1.06262,1.05163,1.06058,525328,0,0
