time,open,high,low,close,tick_volume,spread,real_volume
2024-12-01,190.374,198.955,188.082,196.65,4225561,0,0
2025-01-01,196.658,198.256,189.332,192.226,4239794,0,0
2025-02-01,190.212,193.171,187.052,189.373,3172633,0,0
2025-03-01,189.572,195.98,188.245,193.703,3537953,0,0
2025-04-01,193.708,195.77,184.375,190.686,4436446,0,0
2025-05-01,190.678,196.41,190.239,193.808,2876482,0,0
2025-06-01,193.561,198.81,192.73,197.777,2747877,0,0
2025-07-01,197.7,199.973,195.358,199.046,2867750,0,0
2025-08-01,198.994,200.285,195.029,198.486,2811011,0,0
2025-09-01,198.37,201.264,198.232,198.868,2897836,0,0
2025-10-01,198.793,205.324,197.489,202.483,3386911,0,0
2025-11-01,202.2,203.237,199.064,202.688,726547,3,0
