time,open,high,low,close,tick_volume,spread,real_volume
2024-12-01,19559.29,21353.83,19391.52,20078.97,932026,260,0
2025-01-01,19984.45,20484.25,18648.41,20256.67,926945,260,0
2025-02-01,19958.16,24060.0,19748.16,22983.4,2400729,260,0
2025-03-01,23091.2,24900.9,22549.6,23211.2,3282816,700,0
2025-04-01,23218.1,23450.4,19046.7,21990.9,3326676,700,0
2025-05-01,22240.1,23930.0,22047.6,23046.7,1978476,700,0
2025-06-01,23049.7,24529.0,22653.8,24166.5,2111374,150,0
2025-07-01,24256.2,25736.6,23684.6,24723.4,2052628,700,0
2025-08-01,24752.1,25945.8,24243.6,25394.0,2095223,700,0
2025-09-01,25449.7,27048.4,24904.2,26789.4,2655230,700,0
2025-10-01,26862.1,27376.4,25033.1,25937.7,2910793,700,0
2025-11-01,26011.9,26669.5,25472.9,26553.5,811036,700,0
