time,open,high,low,close,tick_volume,spread,real_volume
2024-12-01,0.97708,0.9973,0.95921,0.97094,2864495,40,0
2025-01-01,0.96948,0.98562,0.96563,0.97859,2757675,40,0
2025-02-01,0.97494,0.98332,0.94616,0.95425,2476477,40,0
2025-03-01,0.94845,0.9643,0.92265,0.95471,3163990,0,0
2025-04-01,0.95249,0.95841,0.89439,0.928,1900455,0,0
2025-05-01,0.92579,0.95185,0.9134,0.93625,2646637,0,0
2025-06-01,0.93463,0.96735,0.93028,0.9371,3529227,84,0
2025-07-01,0.93398,0.95276,0.92492,0.94627,3701314,84,0
2025-08-01,0.94422,0.94906,0.92364,0.93876,2755842,64,0
2025-09-01,0.93372,0.95026,0.92791,0.94101,2657656,65,0
2025-10-01,0.93994,0.94799,0.92184,0.9363,3128491,65,0
2025-11-01,0.93266,0.94131,0.93072,0.93901,718951,65,0
