time,open,high,low,close,tick_volume,spread,real_volume
2024-12-01,0.82638,0.83126,0.80403,0.80433,1739010,1,0
2025-01-01,0.80294,0.82162,0.79952,0.8185,2056540,1,0
2025-02-01,0.82233,0.82357,0.80265,0.809,1993800,2,0
2025-03-01,0.80511,0.83406,0.80498,0.8169,2188393,0,0
2025-04-01,0.81675,0.83193,0.78275,0.81856,1542518,0,0
2025-05-01,0.81851,0.83026,0.81537,0.81905,1556090,0,0
2025-06-01,0.81851,0.83171,0.81143,0.8295,1701384,0,0
2025-07-01,0.82904,0.833,0.81098,0.81574,1777582,1,0
2025-08-01,0.81549,0.82461,0.80414,0.80937,1745738,0,0
2025-09-01,0.80718,0.82717,0.80155,0.80633,1694352,1,0
2025-10-01,0.80624,0.81553,0.79945,0.80137,1799346,0,0
2025-11-01,0.80065,0.80332,0.78901,0.78978,405979,0,0
