time,open,high,low,close,tick_volume,spread,real_volume
2024-12-01,0.51875,0.5235,0.50257,0.50763,1331671,1,0
2025-01-01,0.50565,0.51779,0.50544,0.51308,1538942,1,0
2025-02-01,0.50962,0.51862,0.50337,0.5053,1547612,2,0
2025-03-01,0.50438,0.5139,0.49853,0.5019,1709218,0,0
2025-04-01,0.50093,0.50932,0.46364,0.49025,1997257,0,0
2025-05-01,0.48859,0.49996,0.48669,0.49046,1474721,0,0
2025-06-01,0.48901,0.49849,0.48136,0.48344,1521711,0,0
2025-07-01,0.48325,0.48351,0.47263,0.47826,1559371,0,0
2025-08-01,0.47805,0.4826,0.46609,0.47163,1638627,0,0
2025-09-01,0.46911,0.47587,0.45898,0.46121,1520410,0,0
2025-10-01,0.46084,0.46582,0.45022,0.4601,1556516,0,0
2025-11-01,0.45802,0.46189,0.45099,0.45415,351155,0,0
