time,open,high,low,close,tick_volume,spread,real_volume
2024-12-01,2502.77,2634.97,2435.4,2477.75,231347,38,0
2025-01-01,2493.99,2689.88,2481.89,2670.87,279224,38,0
2025-02-01,2619.81,2764.36,2603.79,2728.5,251371,38,0
2025-03-01,2733.51,2767.15,2487.0,2491.5,456450,13,0
2025-04-01,2503.47,2516.25,2098.75,2427.75,638101,0,0
2025-05-01,2436.5,2568.5,2418.5,2495.75,270640,0,0
2025-06-01,2483.3,2531.25,2412.0,2484.5,259142,0,0
2025-07-01,2492.06,2643.0,2464.5,2579.5,272291,0,0
2025-08-01,2554.98,2691.0,2518.0,2631.75,212285,0,0
2025-09-01,2631.22,2678.67,2578.75,2661.95,259837,25,0
2025-10-01,2658.02,2802.25,2648.52,2771.4,435209,44,0
2025-11-01,2760.07,2776.15,2710.0,2765.53,437187,44,0
