time,open,high,low,close,tick_volume,spread,real_volume
2024-12-01,13.716,14.391,13.495,14.194,749067,3,0
2025-01-01,14.137,14.342,13.829,13.965,860500,3,0
2025-02-01,13.724,14.282,13.707,13.973,816593,3,0
2025-03-01,13.966,15.136,13.961,14.923,1222869,0,0
2025-04-01,14.897,15.275,14.257,14.786,2116171,0,0
2025-05-01,14.763,15.23,14.695,14.99,1367297,0,0
2025-06-01,14.937,15.323,14.81,15.208,933844,8,0
2025-07-01,15.182,15.561,15.017,15.385,941049,7,0
2025-08-01,15.344,15.546,15.1,15.527,816652,6,0
2025-09-01,15.503,15.908,15.484,15.7,810200,6,0
2025-10-01,15.674,16.357,15.57,16.216,938943,6,0
2025-11-01,16.181,16.272,15.923,16.176,185466,6,0
