time,open,high,low,close,tick_volume,spread,real_volume
2025-01-01,7.76793,7.79357,7.76793,7.79274,306490,0,0
2025-02-01,7.79373,7.79554,7.76849,7.7790099999999995,330226,4,0
2025-03-01,7.77603,7.78185,7.76649,7.77982,280888,0,0
2025-04-01,7.77966,7.78464,7.7455300000000005,7.75491,326061,0,0
2025-05-01,7.75528,7.84446,7.74868,7.8394,267183,0,0
2025-06-01,7.83886,7.84997,7.83886,7.84977,142364,0,0
2025-07-01,7.84972,7.84999,7.84078,7.8497900000000005,140848,6,0
2025-08-01,7.84949,7.84996,7.7754,7.79602,306989,5,0
2025-09-01,7.79307,7.81217,7.76565,7.78249,419169,5,0
2025-10-01,7.7825299999999995,7.78476,7.7655899999999995,7.77015,284575,3,0
2025-11-01,7.77001,7.77819,7.7696,7.77362,52043,0,0
