time,open,high,low,close,tick_volume,spread,real_volume
2025-01-01,11.35725,11.5311,11.14687,11.31621,4077311,104,0
2025-02-01,11.40656,11.4952,11.05157,11.24572,3472664,105,0
2025-03-01,11.21269,11.25383,10.3759,10.511,4027779,0,0
2025-04-01,10.5048,11.0574,10.16328,10.3962,4244583,0,0
2025-05-01,10.3959,10.47188,10.04306,10.19851,4141518,0,0
2025-06-01,10.16397,10.20887,9.85665,10.06884,4572362,289,0
2025-07-01,10.05728,10.35004,9.96003,10.32339,4697997,287,0
2025-08-01,10.31588,10.36498,10.02106,10.04993,3677449,282,0
2025-09-01,10.00872,10.12344,9.73078,9.98368,3684343,278,0
2025-10-01,9.98443,10.21335,9.85135,10.11445,4044821,280,0
2025-11-01,10.07494,10.24586,10.06713,10.1365,957194,285,0
