time,open,high,low,close,tick_volume,spread,real_volume
2024-12-01,30.591,32.343,28.738,28.895,1325683,5,0
2025-01-01,28.898,31.726,28.855,31.305,1257019,5,0
2025-02-01,31.431,33.392,30.678,31.141,1360248,5,0
2025-03-01,31.057,34.578,31.056,34.071,1622114,0,0
2025-04-01,34.052,34.204,28.218,32.601,2124144,5,0
2025-05-01,32.592,33.695,31.651,32.956,1508380,5,0
2025-06-01,33.016,37.309,32.954,36.098,1558300,4,0
2025-07-01,36.07,39.526,35.802,36.699,1596102,0,0
2025-08-01,36.709,39.964,36.354,39.654,1291102,12,0
2025-09-01,39.699,47.175,39.509,46.619,2302779,12,0
2025-10-01,46.685,54.453,45.538,48.621,4162949,8,0
2025-11-01,48.481,50.187,46.828,50.026,841853,22,0
