time,open,high,low,close,tick_volume,spread,real_volume
2024-12-01,72.38,75.28,71.28,75.23,371013,0,0
2025-01-01,75.34,82.82,75.09,77.79,515620,0,0
2025-02-01,78.31,78.48,72.34,73.42,401106,0,0
2025-03-01,73.29,74.9,68.64,74.54,429693,0,0
2025-04-01,74.56,75.27,58.21,61.03,859955,0,0
2025-05-01,61.2,66.48,58.38,62.55,526734,0,0
2025-06-01,62.79,80.69,62.79,67.55,729719,0,0
2025-07-01,67.49,73.54,67.25,72.49,433919,1,0
2025-08-01,72.46,72.64,65.34,67.94,369805,1,0
2025-09-01,67.84,70.44,65.43,66.58,334432,0,0
2025-10-01,66.66,67.05,60.21,65.2,475894,0,0
2025-11-01,65.52,65.81,63.26,64.1,105084,1,0
