time,open,high,low,close,tick_volume,spread,real_volume
2024-12-01,948.52,960.49,899.72,904.8,683504,86,0
2025-01-01,904.99,986.19,904.53,981.0,1164422,106,0
2025-02-01,976.16,1009.71,937.48,946.66,1649781,104,0
2025-03-01,947.62,1008.81,946.22,993.65,1900599,0,0
2025-04-01,987.7,999.9,885.71,968.05,2659387,0,0
2025-05-01,967.07,1102.13,950.49,1056.31,1603258,104,0
2025-06-01,1048.21,1435.54,1043.0,1357.36,1515472,178,0
2025-07-01,1359.72,1482.65,1280.59,1291.34,1650463,178,0
2025-08-01,1292.25,1384.66,1261.31,1368.35,1573507,251,0
2025-09-01,1366.08,1626.1,1352.36,1574.33,2200072,251,0
2025-10-01,1567.02,1729.71,1492.19,1565.9,3504109,251,0
2025-11-01,1534.53,1612.94,1515.66,1574.81,726127,251,0
