time,open,high,low,close,tick_volume,spread,real_volume
2024-12-29,97.166,98.038,97.055,97.786,245054,0,0
2025-01-05,97.555,99.168,96.797,96.915,669569,0,0
2025-01-12,96.852,97.96,96.064,96.75,660560,0,0
2025-01-19,96.728,98.765,96.669,98.462,664984,0,0
2025-01-26,97.96,98.25,95.602,96.336,687936,0,0
2025-02-02,94.917,96.754,94.492,94.895,746193,0,0
2025-02-09,94.258,97.334,94.239,96.755,586050,0,0
2025-02-16,96.533,96.846,94.646,94.905,612594,0,0
2025-02-23,94.904,95.457,92.729,93.411,876447,0,0
2025-03-02,93.698,94.72,91.855,93.312,1140415,0,0
2025-03-09,93.269,94.106,91.82,94.036,854951,0,0
2025-03-16,93.994,95.752,93.147,93.631,595847,0,0
2025-03-23,93.527,95.396,93.488,94.168,527998,0,0
2025-03-30,94.102,95.313,87.409,88.714,800112,0,0
2025-04-06,87.096,91.317,86.043,90.195,1266571,0,0
2025-04-13,90.588,91.406,89.568,90.626,742894,0,0
2025-04-20,90.404,92.221,89.641,91.943,582879,0,0
2025-04-27,91.753,93.567,90.588,93.428,541851,0,0
2025-05-04,93.16,93.548,92.114,93.15,541667,0,0
2025-05-11,93.823,95.647,92.743,93.272,553849,0,0
2025-05-18,92.96,93.847,91.652,92.591,522579,0,0
2025-05-25,92.339,93.875,92.014,92.683,494362,0,0
2025-06-01,92.444,94.129,92.061,94.035,496700,0,0
2025-06-08,94.011,94.753,92.315,93.496,513391,0,0
2025-06-15,93.227,94.841,93.184,94.189,608355,0,0
2025-06-22,94.178,94.852,93.845,94.425,665642,0,0
2025-06-29,94.283,95.37,93.961,94.608,571930,0,0
2025-07-06,94.675,97.055,94.233,96.888,553731,0,0
2025-07-13,96.514,97.431,95.995,96.822,547081,0,0
2025-07-20,96.239,97.14,95.63,96.922,557595,0,0
2025-07-27,97.068,97.29,95.1,95.342,675658,0,0
2025-08-03,95.122,96.526,94.905,96.307,679193,0,0
2025-08-10,96.106,96.835,95.52,95.748,621969,0,0
2025-08-17,95.692,96.203,94.399,95.341,587017,0,0
2025-08-24,95.215,96.246,95.178,96.101,573549,0,0
2025-08-31,96.194,97.299,96.019,96.622,610018,0,0
2025-09-07,96.963,98.426,96.817,98.141,584531,0,0
2025-09-14,97.911,98.388,97.246,97.5,570435,0,0
2025-09-21,97.431,98.226,97.241,97.846,577040,0,0
2025-09-28,97.776,98.151,96.856,97.337,591197,0,0
2025-10-05,98.313,100.945,97.824,97.832,736505,0,0
2025-10-12,98.815,99.486,96.253,97.781,837826,0,0
2025-10-19,97.567,99.592,97.509,99.544,602541,0,0
2025-10-26,99.929,101.212,99.412,100.81,636532,0,0
2025-11-02,100.708,101.145,98.825,99.64,588326,0,0
2025-11-09,99.794,100.827,99.681,100.512,86611,1,0
