time,open,high,low,close,tick_volume,spread,real_volume
2024-12-29,8146.15,8274.4,8137.15,8263.4,0,0,33581
2025-01-05,8268.16,8370.65,8216.14,8219.14,0,0,77901
2025-01-12,8224.93,8360.93,8152.93,8337.93,0,0,65368
2025-01-19,8342.71,8465.0,8325.71,8400.48,0,0,46123
2025-01-26,8315.98,8574.99,8315.98,8440.99,0,0,59283
2025-02-02,8450.78,8539.8,8347.78,8452.8,0,0,74928
2025-02-09,8448.61,8625.7,8437.61,8513.6,0,0,55084
2025-02-16,8513.1,8560.3,8226.0,8235.0,0,0,64640
2025-02-23,8239.7,8322.1,8131.6,8175.6,0,0,93956
2025-03-02,8201.7,8280.9,7923.7,8010.2,0,0,150471
2025-03-09,7965.6,7979.4,7727.3,7864.5,0,0,143246
2025-03-16,7844.4,7962.8,7800.6,7899.3,0,0,87600
2025-03-23,7921.2,8017.6,7864.0,7866.0,0,0,267630
2025-03-30,7846.0,8034.0,7271.4,7340.0,0,0,696809
2025-04-06,7042.0,7868.4,6978.0,7651.5,0,0,1182169
2025-04-13,7722.0,7821.0,7602.0,7787.9,0,0,421354
2025-04-20,7716.0,8079.2,7706.7,8059.2,0,0,402021
2025-04-27,8002.0,8263.6,7959.8,8261.9,0,0,418483
2025-05-04,8256.0,8264.9,8108.1,8250.2,0,0,372266
2025-05-11,8330.0,8397.3,8223.8,8333.2,0,0,304172
2025-05-18,8294.0,8419.9,8249.7,8324.0,0,0,340688
2025-05-25,8324.0,8496.0,8318.0,8437.3,0,0,287819
2025-06-01,8412.0,8566.9,8386.9,8541.0,0,0,297713
2025-06-08,8536.0,8637.4,8515.2,8532.7,0,0,294232
2025-06-15,8546.9,8600.5,8462.1,8484.0,0,0,46768
2025-06-22,8476.1,8611.7,8420.1,8532.9,0,0,39617
2025-06-29,8544.9,8632.7,8524.4,8597.7,0,0,32612
2025-07-06,8613.9,8635.5,8527.3,8567.0,0,0,38022
2025-07-13,8557.4,8776.7,8540.8,8713.0,0,0,38023
2025-07-20,8719.4,8761.3,8620.9,8675.3,0,0,32766
2025-07-27,8691.4,8773.7,8584.2,8630.1,0,0,46510
2025-08-03,8631.4,8863.3,8627.4,8817.4,0,0,39648
2025-08-10,8819.5,8942.9,8812.5,8894.0,0,0,30931
2025-08-17,8900.2,9053.5,8871.3,9046.8,0,0,42269
2025-08-24,9047.3,9056.0,8900.8,8945.0,0,0,35520
2025-08-31,8948.0,8967.0,8722.5,8844.0,0,0,37883
2025-09-07,8857.5,8887.3,8780.3,8801.5,0,0,30788
2025-09-14,8798.6,8893.5,8735.3,8816.2,0,0,36365
2025-09-21,8808.0,8876.4,8718.3,8806.9,0,0,44894
2025-09-28,8810.4,9043.9,8804.4,9013.4,0,0,42276
2025-10-05,9018.2,9026.1,8860.8,8871.8,0,0,49797
2025-10-12,8922.3,9111.7,8844.5,8980.9,77333,120,0
2025-10-19,8994.9,9116.9,8948.6,9043.6,43390,120,0
2025-10-26,9066.4,9084.3,8848.8,8874.8,47382,120,0
2025-11-02,8873.0,8893.5,8711.9,8779.8,58194,120,0
2025-11-09,8787.7,8872.1,8779.7,8858.2,7929,120,0
