time,open,high,low,close,tick_volume,spread,real_volume
2024-11-17,1497.89,1526.46,1484.41,1524.96,43260,60,0
2024-11-24,1527.19,1541.26,1516.03,1536.92,34700,60,0
2024-12-01,1542.77,1549.07,1529.9,1540.97,39367,60,0
2024-12-08,1546.61,1548.41,1513.77,1516.51,38478,60,0
2024-12-15,1515.27,1515.57,1453.04,1474.38,49289,60,0
2024-12-22,1474.45,1491.01,1469.1,1488.22,23128,60,0
2024-12-29,1477.02,1502.87,1467.86,1501.57,41642,60,0
2025-01-05,1508.34,1510.59,1477.72,1482.09,46132,60,0
2025-01-12,1470.81,1505.99,1464.42,1503.19,48830,60,0
2025-01-19,1508.91,1530.63,1505.87,1528.7,35703,60,0
2025-01-26,1518.41,1560.96,1517.21,1542.62,52107,60,0
2025-02-02,1516.2,1545.82,1504.29,1528.88,49400,60,0
2025-02-09,1544.4,1548.08,1530.47,1532.67,38353,60,0
2025-02-16,1535.07,1544.02,1512.67,1514.27,30507,60,0
2025-02-23,1518.02,1532.29,1501.92,1531.39,56745,60,0
2025-03-02,1538.51,1543.41,1469.06,1491.17,73864,60,0
2025-03-09,1472.9,1481.26,1450.05,1473.91,66613,60,0
2025-03-16,1475.36,1510.99,1473.09,1499.08,54433,60,0
2025-03-23,1506.88,1530.38,1484.32,1484.47,46525,60,0
2025-03-30,1475.46,1527.34,1385.29,1394.73,74782,60,0
2025-04-06,1353.28,1430.64,1337.85,1417.69,132006,60,0
2025-04-13,1431.05,1457.57,1420.36,1452.6,54938,60,0
2025-04-20,1448.23,1489.04,1429.75,1486.06,45353,60,0
2025-04-27,1486.64,1507.64,1473.63,1506.79,56886,60,0
2025-05-04,1501.59,1526.17,1495.2,1521.08,53304,60,0
2025-05-11,1544.05,1561.53,1530.36,1559.23,44601,60,0
2025-05-18,1563.11,1567.86,1538.16,1546.82,40031,60,0
2025-05-25,1560.61,1581.77,1554.87,1568.97,43601,60,0
2025-06-01,1570.32,1583.89,1565.5,1578.27,43829,60,0
2025-06-08,1579.28,1586.75,1570.92,1579.47,45269,60,0
2025-06-15,1585.33,1590.04,1570.69,1575.93,45928,60,0
2025-06-22,1576.93,1595.99,1576.18,1589.46,43081,80,0
2025-06-29,1588.68,1611.64,1587.09,1609.65,25125,80,0
2025-07-06,1611.77,1613.28,1597.37,1604.0,42354,80,0
2025-07-13,1604.09,1634.3,1599.53,1625.36,44120,80,0
2025-07-20,1629.79,1636.19,1621.87,1634.31,39990,80,0
2025-07-27,1635.13,1637.52,1593.91,1603.45,49996,80,0
2025-08-03,1629.43,1666.38,1628.62,1651.0,40826,80,0
2025-08-10,1650.22,1665.28,1649.45,1653.37,41292,80,0
2025-08-17,1651.91,1683.26,1649.45,1680.01,44276,80,0
2025-08-24,1675.64,1698.32,1666.83,1695.31,40462,80,0
2025-08-31,1687.57,1723.9,1682.83,1721.03,40616,80,0
2025-09-07,1724.07,1739.19,1709.34,1730.25,41488,80,0
2025-09-14,1732.33,1762.57,1727.18,1760.62,45619,80,0
2025-09-21,1759.13,1774.89,1743.78,1755.87,46519,80,0
2025-09-28,1763.98,1799.99,1758.62,1796.9,47392,80,0
2025-10-05,1807.67,1808.92,1754.68,1756.76,48998,80,0
2025-10-12,1759.06,1807.09,1759.06,1771.16,51835,80,0
2025-10-19,1783.88,1791.74,1758.79,1788.15,49075,80,0
2025-10-26,1789.13,1798.38,1769.08,1780.77,49520,80,0
2025-11-02,1785.01,1785.01,1741.74,1763.16,56230,80,0
2025-11-09,1778.89,1782.29,1775.87,1779.35,2348,80,0
