time,open,high,low,close,tick_volume,spread,real_volume
2024-12-29,109.162,109.768,108.557,108.862,211718,1,0
2025-01-05,108.68,110.462,108.672,109.365,596746,1,0
2025-01-12,109.238,110.157,107.645,107.931,606679,1,0
2025-01-19,107.881,109.253,107.323,108.716,630157,1,0
2025-01-26,108.11,108.614,105.749,106.672,719833,1,0
2025-02-02,104.933,108.025,104.878,105.921,788312,1,0
2025-02-09,105.241,108.317,105.156,107.412,608138,0,0
2025-02-16,107.322,107.427,104.67,104.889,634297,1,0
2025-02-23,104.772,105.458,103.204,104.056,902769,1,0
2025-03-02,104.205,104.973,101.917,102.918,1162464,1,0
2025-03-09,102.822,103.642,101.375,103.462,929229,1,0
2025-03-16,103.32,105.033,103.153,103.99,651000,1,0
2025-03-23,103.977,105.864,103.955,104.645,562330,0,0
2025-03-30,104.621,105.456,101.872,103.21,832083,0,0
2025-04-06,102.086,105.07,101.6,103.442,1148916,0,0
2025-04-13,103.762,103.893,102.025,102.608,668118,0,0
2025-04-20,102.471,103.953,101.256,103.743,572875,0,0
2025-04-27,103.538,105.411,102.502,104.879,517774,0,0
2025-05-04,104.751,104.96,103.252,104.284,535712,0,0
2025-05-11,105.231,106.256,103.884,104.257,559393,0,0
2025-05-18,103.845,104.227,103.008,103.848,552180,0,0
2025-05-25,103.637,105.573,103.534,104.851,514075,0,0
2025-06-01,104.707,106.015,103.837,105.742,525118,0,0
2025-06-08,105.687,106.31,104.797,106.08,535721,0,0
2025-06-15,105.848,106.891,105.612,106.305,608147,0,0
2025-06-22,106.528,107.346,105.035,105.657,656381,1,0
2025-06-29,105.32,107.029,104.851,106.148,591739,0,0
2025-07-06,106.11,107.854,105.951,107.661,537603,1,0
2025-07-13,107.341,108.744,107.23,108.432,543067,1,0
2025-07-20,107.716,108.322,107.19,107.765,546017,1,0
2025-07-27,107.681,108.956,106.814,106.939,661302,1,0
2025-08-03,106.758,107.694,106.525,107.334,657059,1,0
2025-08-10,107.15,107.759,106.246,106.473,602249,1,0
2025-08-17,106.441,107.208,105.943,106.221,568261,1,0
2025-08-24,106.164,107.121,106.086,107.004,558762,0,0
2025-08-31,106.934,108.032,106.17,106.592,584693,1,0
2025-09-07,106.97,107.346,106.006,106.642,565748,1,0
2025-09-14,106.496,107.447,105.978,107.367,556715,1,0
2025-09-21,107.213,107.627,106.526,107.211,564577,1,0
2025-09-28,107.116,107.251,105.198,105.702,566872,0,0
2025-10-05,107.004,109.754,106.72,107.942,705592,1,0
2025-10-12,108.389,108.844,106.237,107.393,767736,1,0
2025-10-19,107.19,109.289,107.086,109.203,566688,1,0
2025-10-26,108.985,110.39,108.463,109.888,597611,1,0
2025-11-02,109.782,110.109,108.202,109.219,528527,1,0
2025-11-09,109.218,110.08,109.192,109.893,93068,0,0
