time,open,high,low,close,tick_volume,spread,real_volume
2024-11-17,68.96,71.01,68.3,70.66,19481,21,0
2024-11-24,70.66,72.04,70.66,71.87,12184,21,0
2024-12-01,71.79,71.95,69.96,69.99,17698,21,0
2024-12-08,69.9,70.64,68.95,69.22,16754,21,0
2024-12-15,69.16,69.81,67.39,68.01,14257,21,0
2024-12-22,68.07,69.76,68.07,68.71,11086,21,0
2024-12-29,68.66,69.33,67.53,67.63,11560,21,0
2025-01-05,67.75,69.04,66.81,66.85,15182,21,0
2025-01-12,67.01,67.87,66.5,67.47,17572,21,0
2025-01-19,67.6,68.33,66.67,67.57,14518,21,0
2025-01-26,67.55,68.06,65.6,65.81,15539,21,0
2025-02-02,65.61,68.31,64.91,66.82,19295,21,0
2025-02-09,66.87,68.87,66.87,68.24,17397,21,0
2025-02-16,68.54,69.14,66.92,67.25,15477,21,0
2025-02-23,67.29,68.07,65.08,65.24,17168,21,0
2025-03-02,65.23,66.28,62.44,66.04,29815,21,0
2025-03-09,65.89,67.52,65.33,67.22,24596,21,0
2025-03-16,67.4,67.69,65.14,65.26,18657,21,0
2025-03-23,65.28,66.99,64.72,66.78,18414,21,0
2025-03-30,66.7,68.47,61.2,64.46,25296,21,0
2025-04-06,63.24,68.03,62.97,66.89,40071,21,0
2025-04-13,66.89,67.12,64.96,66.99,18029,21,0
2025-04-20,67.05,69.64,66.12,68.62,22760,21,0
2025-04-27,68.67,68.73,65.42,68.27,20767,21,0
2025-05-04,68.12,68.99,66.12,66.64,20806,21,0
2025-05-11,67.86,68.79,64.66,65.03,22380,21,0
2025-05-18,64.96,66.42,64.79,65.95,19016,21,0
2025-05-25,65.97,66.68,64.41,64.99,13667,21,0
2025-06-01,65.06,68.28,65.06,68.06,18104,21,0
2025-06-08,68.06,68.43,66.92,67.78,17238,21,0
2025-06-15,67.74,68.09,66.31,66.65,13196,21,0
2025-06-22,66.58,69.41,66.18,69.21,17226,21,0
2025-06-29,69.24,69.36,67.66,68.32,14328,21,0
2025-07-06,68.01,68.26,67.02,67.32,13833,21,0
2025-07-13,67.34,69.04,67.26,68.65,14882,21,0
2025-07-20,68.67,68.88,67.7,68.12,14055,21,0
2025-07-27,68.27,68.66,66.24,66.32,14402,21,0
2025-08-03,66.3,67.53,65.78,66.53,14394,21,0
2025-08-10,66.49,68.39,66.49,67.38,16585,21,0
2025-08-17,67.24,68.19,67.12,67.88,14147,21,0
2025-08-24,67.9,68.08,66.42,66.44,13269,21,0
2025-08-31,66.5,66.75,65.7,65.98,11154,21,0
2025-09-07,65.96,66.96,65.82,66.67,12741,21,0
2025-09-14,66.67,67.72,66.17,66.21,13124,21,0
2025-09-21,66.31,66.9,65.93,66.22,13577,21,0
2025-09-28,66.16,66.51,64.6,65.2,15569,21,0
2025-10-05,65.28,65.45,63.17,63.66,15080,21,0
2025-10-12,63.88,64.37,62.61,64.18,15829,21,0
2025-10-19,64.17,64.68,63.55,64.09,12233,21,0
2025-10-26,64.48,65.99,64.24,64.73,13996,21,0
2025-11-02,66.99,67.12,65.61,65.62,11117,21,0
2025-11-09,65.14,65.72,65.14,65.35,2381,21,0
