time,open,high,low,close,tick_volume,spread,real_volume
2024-11-17,19234.7,19369.5,18809.4,19351.5,351066,50,0
2024-11-24,19423.3,19681.2,19143.7,19647.7,263295,50,0
2024-12-01,19669.2,20427.0,19562.1,20378.0,246546,50,0
2024-12-08,20379.7,20526.9,20259.4,20414.8,226766,50,0
2024-12-15,20426.7,20480.1,19634.4,19865.2,266646,50,0
2024-12-22,19933.6,19972.6,19788.3,19947.1,102741,50,0
2024-12-29,19951.3,20037.9,19759.5,19909.4,183745,50,0
2025-01-05,19912.2,20485.6,19893.8,20249.3,246804,50,0
2025-01-12,20224.4,20926.8,20024.3,20892.1,214988,50,0
2025-01-19,20883.2,21528.3,20853.6,21370.2,172095,50,0
2025-01-26,21293.2,21802.7,21079.4,21631.9,257681,50,0
2025-02-02,21265.0,21948.1,21098.6,21741.0,280769,50,0
2025-02-09,21699.6,22626.0,21695.4,22500.9,226082,50,0
2025-02-16,22517.9,22937.8,22114.8,22178.3,209885,50,0
2025-02-23,22281.7,22832.1,22210.9,22546.0,369967,50,0
2025-03-02,22618.8,23474.8,22311.1,23211.2,605701,50,0
2025-03-09,23070.0,23215.9,22237.3,23068.2,415108,50,0
2025-03-16,23065.0,23479.9,22713.0,22896.6,290395,10,0
2025-03-23,22977.0,23219.3,22373.0,22447.3,347513,10,0
2025-03-30,22401.0,22661.0,20221.0,20301.0,525057,0,0
2025-04-06,20195.0,21549.0,18810.9,20693.0,508755,0,0
2025-04-13,20699.0,21436.4,20657.0,21197.6,290498,0,0
2025-04-20,20940.4,22377.0,20940.4,22357.0,340357,0,0
2025-04-27,22289.0,23150.6,22229.3,23129.0,311405,0,0
2025-05-04,23129.0,23525.0,22847.2,23521.0,335316,0,0
2025-05-11,23825.0,23918.1,23322.9,23721.0,302821,0,0
2025-05-18,23617.0,24151.8,23251.7,23589.0,315272,0,0
2025-05-25,23622.0,24391.0,23598.0,24028.0,283446,0,0
2025-06-01,23937.0,24466.5,23727.4,24316.0,310587,0,0
2025-06-08,24329.0,24347.0,23280.9,23418.0,294937,0,0
2025-06-15,23363.2,23714.9,23022.1,23284.9,362749,50,0
2025-06-22,23163.7,24101.4,23079.1,24077.4,317920,50,0
2025-06-29,24112.4,24176.7,23613.4,23764.7,250331,50,0
2025-07-06,23850.2,24653.1,23794.6,24225.3,308829,50,0
2025-07-13,24085.6,24496.7,23925.0,24203.5,275781,50,0
2025-07-20,24193.5,24562.4,23920.7,24308.1,304786,50,0
2025-07-27,24386.2,24565.2,23375.6,23446.0,361574,50,0
2025-08-03,23431.7,24391.2,23396.3,24225.0,325912,50,0
2025-08-10,24225.6,24541.1,23942.0,24376.9,260605,50,0
2025-08-17,24388.6,24451.0,24176.1,24354.8,243634,50,0
2025-08-24,24362.6,24379.1,23874.9,23932.8,235105,50,0
2025-08-31,23955.2,24099.6,23476.1,23653.7,289213,50,0
2025-09-07,23614.5,23885.1,23555.7,23709.6,253879,50,0
2025-09-14,23706.5,23859.6,23278.9,23653.5,278670,50,0
2025-09-21,23639.5,23759.1,23372.7,23747.8,293197,50,0
2025-09-28,23753.9,24540.5,23665.6,24391.1,273480,50,0
2025-10-05,24399.9,24773.5,24165.8,24174.3,271254,50,0
2025-10-12,24296.2,24484.3,23675.3,23979.3,473932,50,0
2025-10-19,24000.8,24386.2,23917.6,24208.9,278258,50,0
2025-10-26,24323.8,24411.7,23906.5,23977.5,301771,50,0
2025-11-02,23990.2,24252.6,23451.1,23763.9,352784,50,0
2025-11-09,23840.0,24034.6,23807.3,23988.4,35921,50,0
