time,open,high,low,close,tick_volume,spread,real_volume
2024-11-17,7277.15,7306.7,7133.1,7263.05,197833,50,0
2024-11-24,7288.35,7341.1,7095.2,7228.05,146423,50,0
2024-12-01,7226.95,7454.9,7124.2,7432.25,137143,50,0
2024-12-08,7433.75,7521.9,7372.55,7405.35,114036,50,0
2024-12-15,7415.05,7428.05,7197.2,7258.45,158134,30,0
2024-12-22,7275.95,7366.1,7234.7,7354.45,58608,100,0
2024-12-29,7357.95,7407.4,7267.0,7275.35,96192,100,0
2025-01-05,7289.75,7521.4,7272.75,7441.25,171786,100,0
2025-01-12,7445.65,7732.9,7351.9,7715.75,158001,30,0
2025-01-19,7718.15,7991.4,7681.9,7912.25,117212,100,0
2025-01-26,7875.75,7996.4,7826.25,7906.75,166732,100,0
2025-02-02,7770.75,8027.5,7703.75,7948.35,169330,100,0
2025-02-09,7902.85,8213.2,7902.85,8173.05,130361,100,0
2025-02-16,8181.35,8227.5,8092.3,8108.65,117766,50,0
2025-02-23,8110.65,8190.65,8001.55,8101.05,199116,80,0
2025-03-02,8113.45,8301.3,8002.2,8189.5,561917,0,0
2025-03-09,8160.5,8186.5,7897.5,8049.9,874426,0,0
2025-03-16,8006.81,8204.5,8006.81,8042.05,562258,30,0
2025-03-23,8063.0,8142.8,7893.4,7896.85,523056,30,0
2025-03-30,7871.0,7936.5,7169.5,7193.5,805881,20,0
2025-04-06,7194.89,7509.6,6743.75,7247.5,947872,0,0
2025-04-13,7251.5,7366.2,7159.0,7310.95,411614,0,0
2025-04-20,7225.8,7582.15,7212.7,7574.5,466042,0,0
2025-04-27,7576.86,7803.7,7507.2,7793.5,459567,20,0
2025-05-04,7751.0,7766.75,7605.0,7757.5,504017,15,0
2025-05-11,7735.28,7914.15,7735.28,7880.5,476874,0,0
2025-05-18,7816.5,7956.4,7616.55,7724.5,520232,6,0
2025-05-25,7715.3,7890.0,7707.2,7747.5,425697,10,0
2025-06-01,7746.97,7850.2,7665.7,7810.5,486802,5,0
2025-06-08,7812.0,7841.6,7599.0,7650.0,482026,30,0
2025-06-15,7681.1,7769.5,7544.9,7560.3,121148,100,0
2025-06-22,7539.9,7712.4,7493.0,7699.0,130987,120,0
2025-06-29,7705.6,7770.1,7610.9,7677.1,107455,120,0
2025-07-06,7702.3,7940.1,7681.9,7828.6,105886,120,0
2025-07-13,7769.8,7873.2,7708.5,7803.5,97560,120,0
2025-07-20,7806.0,7979.2,7725.7,7867.0,116749,120,0
2025-07-27,7927.8,7948.5,7521.9,7558.1,154077,120,0
2025-08-03,7594.2,7775.3,7570.0,7753.6,125948,120,0
2025-08-10,7761.9,7943.6,7692.3,7932.9,84908,120,0
2025-08-17,7944.1,8004.5,7856.0,7976.2,97641,120,0
2025-08-24,7968.8,7970.5,7664.4,7708.5,109560,120,0
2025-08-31,7724.2,7746.4,7645.6,7674.9,122125,120,0
2025-09-07,7683.4,7852.1,7679.9,7830.5,111629,120,0
2025-09-14,7836.5,7936.2,7761.8,7870.6,108757,120,0
2025-09-21,7860.9,7919.4,7758.7,7877.8,117346,120,0
2025-09-28,7901.3,8096.8,7829.3,8076.3,108830,120,0
2025-10-05,8076.9,8110.2,7863.9,7878.1,140686,120,0
2025-10-12,7942.0,8225.5,7823.9,8220.8,164188,120,0
2025-10-19,8224.0,8273.1,8149.3,8211.2,121601,120,0
2025-10-26,8254.5,8273.0,8097.2,8122.2,99799,120,0
2025-11-02,8128.9,8151.5,7906.3,8015.7,121040,120,0
2025-11-09,8038.0,8077.0,8015.8,8067.9,15123,120,0
