time,open,high,low,close,tick_volume,spread,real_volume
2024-11-17,1.95062,1.95747,1.9231500000000001,1.92775,1018943,1,0
2024-11-24,1.92438,1.95519,1.92291,1.9536799999999999,1024068,1,0
2024-12-01,1.95182,1.99755,1.95079,1.99344,991431,1,0
2024-12-08,1.991,2.01072,1.97631,1.98415,920876,1,0
2024-12-15,1.98417,2.03013,1.97986,2.01028,968197,1,0
2024-12-22,2.00662,2.02652,2.00317,2.02214,547919,1,0
2024-12-29,2.0205,2.0254,1.99132,1.99794,639673,1,0
2025-01-05,1.99696,2.00859,1.9788700000000001,1.98654,954017,1,0
2025-01-12,1.9836200000000002,1.98672,1.95981,1.96486,958738,1,0
2025-01-19,1.96136,1.97794,1.9593500000000001,1.9762,861136,1,0
2025-01-26,1.97658,2.00193,1.9758900000000001,1.9947300000000001,666685,1,0
2025-02-02,1.99454,2.01511,1.9731999999999998,1.97622,697656,1,0
2025-02-09,1.9827,1.99448,1.96393,1.98061,567753,1,0
2025-02-16,1.97922,1.98971,1.97457,1.9867,546549,1,0
2025-02-23,1.9826000000000001,2.03096,1.9816799999999999,2.02482,686039,1,0
2025-03-02,2.02348,2.05426,2.02096,2.04802,884724,1,0
2025-03-09,2.04568,2.06284,2.0387,2.04427,723119,1,0
2025-03-16,2.04245,2.06503,2.03256,2.05851,522651,1,0
2025-03-23,2.05545,2.06096,2.03908,2.05795,597237,0,0
2025-03-30,2.05601,2.14994,2.04785,2.13119,925159,0,0
2025-04-06,2.13773,2.1646,2.07267,2.07816,1333407,0,0
2025-04-13,2.07576,2.09333,2.07125,2.08493,841033,0,0
2025-04-20,2.08222,2.09658,2.06838,2.08057,757779,0,0
2025-04-27,2.07636,2.103,2.05715,2.05814,620792,0,0
2025-05-04,2.05075,2.07876,2.04815,2.07386,585021,0,0
2025-05-11,2.0628,2.08174,2.05119,2.07354,599906,0,0
2025-05-18,2.06882,2.09679,2.06638,2.08338,581885,0,0
2025-05-25,2.08252,2.10349,2.07853,2.09065,536477,0,0
2025-06-01,2.09038,2.09665,2.08106,2.08317,562800,0,0
2025-06-08,2.0798,2.10023,2.06617,2.09178,572757,0,0
2025-06-15,2.09083,2.09324,2.05902,2.08351,583050,1,0
2025-06-22,2.08439,2.10369,2.08134,2.09935,614507,1,0
2025-06-29,2.09422,2.10061,2.06884,2.0813,541012,1,0
2025-07-06,2.07799,2.09618,2.04946,2.05004,515751,1,0
2025-07-13,2.05283,2.07465,2.04423,2.05928,497146,1,0
2025-07-20,2.05743,2.07227,2.04525,2.04527,491751,1,0
2025-07-27,2.03983,2.06265,2.03977,2.05202,622542,1,0
2025-08-03,2.05205,2.06667,2.04544,2.06198,605991,1,0
2025-08-10,2.05967,2.08656,2.05823,2.0816,539612,1,0
2025-08-17,2.07941,2.10057,2.07685,2.08251,514926,1,0
2025-08-24,2.08057,2.08483,2.05991,2.06342,526429,1,0
2025-08-31,2.06054,2.06973,2.04859,2.05962,559651,1,0
2025-09-07,2.05809,2.0602,2.03416,2.03873,554289,1,0
2025-09-14,2.03892,2.05515,2.03518,2.0424,561990,1,0
2025-09-21,2.03915,2.05255,2.03597,2.04705,608569,1,0
2025-09-28,2.04238,2.04906,2.02922,2.04135,579811,1,0
2025-10-05,2.03851,2.06272,2.02437,2.06054,663883,1,0
2025-10-12,2.04685,2.08515,2.04258,2.06679,733489,1,0
2025-10-19,2.06579,2.06912,2.04208,2.0433,528359,1,0
2025-10-26,2.03352,2.04056,1.9969700000000001,2.00828,562860,1,0
2025-11-02,2.00426,2.03419,2.00194,2.02583,524368,1,0
2025-11-09,2.02189,2.02596,2.01334,2.01665,79601,1,0
