time,open,high,low,close,tick_volume,spread,real_volume
2024-11-17,1.26163,1.2714699999999999,1.24872,1.2533,550231,1,0
2024-11-24,1.2591999999999999,1.27497,1.2507,1.27328,568524,1,0
2024-12-01,1.27189,1.28111,1.2617099999999999,1.27416,553003,1,0
2024-12-08,1.27306,1.27989,1.26082,1.2619500000000001,486990,1,0
2024-12-15,1.26112,1.27286,1.24753,1.25672,531322,1,0
2024-12-22,1.25607,1.25926,1.25011,1.25721,270151,1,0
2024-12-29,1.25722,1.26071,1.23521,1.24219,338289,1,0
2025-01-05,1.2418,1.25759,1.21912,1.22064,547405,1,0
2025-01-12,1.22016,1.23062,1.20995,1.21695,569276,1,0
2025-01-19,1.21656,1.25019,1.21607,1.24815,520242,1,0
2025-01-26,1.24664,1.25233,1.23861,1.23879,451361,1,0
2025-02-02,1.2282,1.255,1.22496,1.24005,468937,1,0
2025-02-09,1.23663,1.26305,1.23326,1.2585600000000001,381792,1,0
2025-02-16,1.25698,1.26787,1.25631,1.26314,368924,1,0
2025-02-23,1.26244,1.27159,1.25593,1.2577,450111,1,0
2025-03-02,1.2581,1.29448,1.25594,1.29214,574018,1,0
2025-03-09,1.29165,1.29871,1.28616,1.29363,471886,1,0
2025-03-16,1.292,1.30151,1.28879,1.29119,342847,1,0
2025-03-23,1.2891599999999999,1.29921,1.28709,1.29421,330097,0,0
2025-03-30,1.29129,1.3207200000000001,1.28532,1.28922,510073,0,0
2025-04-06,1.28118,1.31451,1.2708,1.3078699999999999,830792,0,0
2025-04-13,1.30942,1.32989,1.3063,1.32948,663808,0,0
2025-04-20,1.3272,1.34239,1.32336,1.33099,391910,0,0
2025-04-27,1.32806,1.3444,1.3259400000000001,1.32709,345993,0,0
2025-05-04,1.3259400000000001,1.34028,1.32121,1.33006,354090,0,0
2025-05-11,1.32576,1.3360400000000001,1.314,1.3283,383477,0,0
2025-05-18,1.3264,1.35394,1.32615,1.35375,395513,0,0
2025-05-25,1.35209,1.35934,1.3415599999999999,1.3455,353213,0,0
2025-06-01,1.34628,1.36168,1.34479,1.3526099999999999,358296,0,0
2025-06-08,1.3516599999999999,1.36327,1.34564,1.35736,358809,0,0
2025-06-15,1.35613,1.36224,1.33827,1.34463,385096,1,0
2025-06-22,1.34005,1.37708,1.33704,1.37204,404558,1,0
2025-06-29,1.36938,1.37887,1.35629,1.3642400000000001,360879,1,0
2025-07-06,1.3644,1.36578,1.34813,1.3489,338175,1,0
2025-07-13,1.34811,1.3504399999999999,1.3365,1.34059,337271,1,0
2025-07-20,1.3413599999999999,1.35889,1.34021,1.34313,329948,1,0
2025-07-27,1.34184,1.3452899999999999,1.31414,1.32764,414992,1,0
2025-08-03,1.32781,1.3458700000000001,1.3253599999999999,1.34473,393630,1,0
2025-08-10,1.34358,1.35948,1.33991,1.35548,341592,1,0
2025-08-17,1.3545,1.35653,1.33906,1.35282,330027,1,0
2025-08-24,1.35095,1.35307,1.34166,1.35,354011,1,0
2025-08-31,1.34881,1.35548,1.3333300000000001,1.35047,378035,1,0
2025-09-07,1.34955,1.35906,1.34824,1.35569,381463,1,0
2025-09-14,1.35465,1.37265,1.34631,1.34704,393684,1,0
2025-09-21,1.34632,1.35366,1.33236,1.33997,424089,1,0
2025-09-28,1.3385799999999999,1.35275,1.33857,1.34781,399451,1,0
2025-10-05,1.3431,1.349,1.32617,1.33488,454773,1,0
2025-10-12,1.3344,1.34717,1.32486,1.34241,467478,0,0
2025-10-19,1.34254,1.34433,1.32876,1.33101,343138,0,0
2025-10-26,1.33162,1.337,1.30971,1.31486,361452,0,0
2025-11-02,1.31258,1.31748,1.30102,1.3161100000000001,314900,0,0
2025-11-09,1.3145,1.31912,1.31365,1.3154,51335,0,0
