time,open,high,low,close,tick_volume,spread,real_volume
2025-07-20,3502.1,3508.75,3381.9,3394.4,149746,20,0
2025-07-27,3372.45,3417.26,3319.66,3416.22,692369,5,0
2025-08-03,3419.33,3531.58,3398.2,3457.14,741799,8,0
2025-08-10,3457.44,3466.08,3375.5,3381.52,676933,5,0
2025-08-17,3382.18,3423.28,3353.28,3416.86,600117,5,0
2025-08-24,3416.02,3518.36,3396.14,3517.28,633223,8,0
2025-08-31,3517.41,3655.34,3505.8,3640.18,874537,5,0
2025-09-07,3633.16,3714.76,3621.56,3680.82,898609,6,0
2025-09-14,3681.24,3743.32,3660.9,3718.88,906461,5,0
2025-09-21,3721.44,3824.5,3717.98,3790.46,1029718,10,0
2025-09-28,3786.23,3922.7,3785.95,3912.12,1143820,5,0
2025-10-05,3912.95,4080.86,3909.22,4029.51,1245915,10,0
2025-10-12,4013.42,4391.86,4011.91,4267.66,1892047,14,0
2025-10-19,4268.07,4397.78,4021.07,4126.83,1996830,14,0
2025-10-26,4074.07,4123.63,3901.15,4013.52,1854725,14,0
2025-11-02,3994.47,4042.63,3936.14,4008.42,1487680,14,0
2025-11-09,4006.96,4114.76,4003.82,4093.05,226366,14,0
