time,open,high,low,close,tick_volume,spread,real_volume
2024-11-17,11646.4,11759.4,11426.2,11727.1,87740,300,0
2024-11-24,11745.1,11791.9,11441.2,11770.5,61575,300,0
2024-12-01,11732.2,11874.2,11717.3,11768.8,61943,300,0
2024-12-08,11779.3,11829.9,11598.2,11692.5,60887,300,0
2024-12-15,11683.5,11762.0,11245.0,11363.0,70195,300,0
2024-12-22,11381.4,11607.1,11359.4,11592.7,27354,300,0
2024-12-29,11564.2,11698.8,11535.8,11631.0,24013,300,0
2025-01-05,11668.6,11966.2,11583.6,11797.5,63079,300,0
2025-01-12,11762.9,12001.9,11648.8,11983.7,69769,300,0
2025-01-19,11978.8,12333.0,11966.8,12283.4,55356,300,0
2025-01-26,12207.1,12707.1,12205.2,12543.3,76166,300,0
2025-02-02,12415.7,12671.8,12369.3,12571.4,84214,300,0
2025-02-09,12608.4,12977.9,12580.7,12860.0,60949,300,0
2025-02-16,12858.0,12953.9,12754.0,12903.7,54837,300,0
2025-02-23,13001.6,13098.3,12787.4,13059.8,88157,300,0
2025-03-02,13075.4,13199.5,12886.8,13179.4,122088,300,0
2025-03-09,13130.1,13161.1,12634.9,12973.7,120555,300,0
2025-03-16,12945.4,13116.3,12915.9,13054.8,86518,300,0
2025-03-23,13130.8,13134.2,12712.7,12836.2,205845,70,0
2025-03-30,12718.8,12752.6,11526.3,11580.1,417894,40,0
2025-04-06,11316.03,11941.7,10692.3,11367.2,588639,20,0
2025-04-13,11459.19,11738.4,11372.0,11712.9,270526,20,0
2025-04-20,11496.0,12015.0,11460.0,11964.0,262681,40,0
2025-04-27,11910.0,12284.0,11909.8,12269.8,226385,70,0
2025-05-04,12216.0,12317.5,12052.0,12076.8,248796,70,0
2025-05-11,12128.0,12370.8,12018.1,12329.6,256363,20,0
2025-05-18,12329.0,12460.2,12017.0,12207.7,281290,20,0
2025-05-25,12309.1,12380.2,12167.1,12192.5,187117,40,0
2025-06-01,12208.95,12394.1,12126.8,12347.1,270646,20,0
2025-06-08,12338.37,12396.9,12091.0,12143.1,234664,10,0
2025-06-15,12107.2,12158.7,11823.0,11856.7,225106,30,0
2025-06-22,11801.11,12077.4,11770.7,12003.0,219722,40,0
2025-06-29,11994.48,12045.1,11835.8,11933.4,205227,20,0
2025-07-06,11957.09,12135.8,11875.6,11941.8,211252,50,0
2025-07-13,11874.0,12040.4,11846.0,11954.8,233491,30,0
2025-07-20,11947.36,12205.69,11841.9,11972.4,223813,20,0
2025-07-27,12065.33,12088.3,11819.0,11842.2,180566,20,0
2025-08-03,11534.19,11910.1,11519.2,11873.5,265404,40,0
2025-08-10,11923.28,12097.1,11824.0,12079.7,185619,50,0
2025-08-17,12102.0,12326.7,12016.0,12259.7,208205,40,0
2025-08-24,12257.0,12267.6,12119.3,12197.8,203551,10,0
2025-08-31,12201.64,12445.6,12066.7,12374.3,253524,20,0
2025-09-07,12381.47,12415.8,12180.0,12195.1,250136,60,0
2025-09-14,12209.5,12237.6,11963.7,12118.8,231799,80,0
2025-09-21,12100.0,12170.85,11844.15,11954.85,339090,80,0
2025-09-28,11979.15,12550.5,11957.9,12513.5,349566,80,0
2025-10-05,12495.15,12669.25,12455.05,12479.45,415624,80,0
2025-10-12,12552.66,12725.1,12400.7,12658.07,620527,80,0
2025-10-19,12731.45,12731.45,12530.0,12562.6,426079,80,0
2025-10-26,12593.24,12599.15,12197.6,12214.94,403405,80,0
2025-11-02,12264.85,12402.65,12099.6,12312.72,488418,80,0
2025-11-09,12412.45,12478.65,12355.1,12462.4,75912,80,0
