time,open,high,low,close,tick_volume,spread,real_volume
2024-11-17,5870.5,5973.1,5830.6,5970.6,369929,30,0
2024-11-24,5990.2,6044.3,5957.4,6034.8,189242,30,0
2024-12-01,6039.4,6099.9,6020.5,6085.8,130926,30,0
2024-12-08,6086.9,6094.7,6029.6,6045.4,137400,30,0
2024-12-15,6051.2,6084.8,5796.4,5926.2,450608,30,0
2024-12-22,5949.7,6045.4,5901.5,5973.1,245659,30,0
2024-12-29,5977.8,5982.1,5825.9,5935.9,375641,30,0
2025-01-05,5947.4,6020.0,5805.4,5820.5,412959,30,0
2025-01-12,5819.1,6015.3,5770.0,5995.5,406801,30,0
2025-01-19,6003.2,6128.0,5959.5,6097.6,230419,30,0
2025-01-26,6072.9,6119.2,5914.8,6034.1,488494,30,0
2025-02-02,5937.3,6100.2,5908.7,6027.4,445903,30,0
2025-02-09,6006.4,6125.6,5998.7,6112.5,254207,30,0
2025-02-16,6118.9,6147.6,6008.3,6012.7,193821,30,0
2025-02-23,6022.8,6051.3,5835.8,5946.9,526502,30,0
2025-03-02,5958.2,5989.8,5664.6,5764.0,914651,30,0
2025-03-09,5731.6,5750.0,5504.0,5623.2,900359,30,0
2025-03-16,5623.6,5716.5,5595.8,5666.8,642957,30,0
2025-03-23,5689.65,5785.3,5555.2,5555.95,852880,35,0
2025-03-30,5542.33,5729.2,5033.1,5059.25,1477811,0,0
2025-04-06,4952.5,5488.45,4799.9,5369.2,1962120,0,0
2025-04-13,5418.94,5463.15,5216.9,5293.65,1086406,0,0
2025-04-20,5258.7,5531.55,5096.8,5523.3,1167312,0,0
2025-04-27,5517.67,5701.05,5430.4,5684.65,1110985,0,0
2025-05-04,5680.55,5720.75,5575.65,5662.25,1044182,25,0
2025-05-11,5741.93,5955.8,5715.7,5919.45,927240,25,0
2025-05-18,5908.61,5972.4,5739.7,5793.45,1034764,0,0
2025-05-25,5799.48,5994.0,5798.5,5900.0,868652,35,0
2025-06-01,5887.9,6016.05,5857.8,6001.15,887883,0,0
2025-06-08,6002.65,6089.75,5922.65,5975.85,960307,30,0
2025-06-15,5955.9,6051.4,5915.5,5973.7,454810,30,0
2025-06-22,5919.8,6187.6,5915.2,6168.4,279804,30,0
2025-06-29,6176.2,6282.9,6172.6,6237.3,179736,30,0
2025-07-06,6256.5,6290.2,6200.1,6252.9,226515,30,0
2025-07-13,6230.0,6317.5,6201.2,6294.4,222567,30,0
2025-07-20,6296.3,6395.8,6282.0,6391.7,158637,30,0
2025-07-27,6418.4,6436.4,6211.7,6236.6,323315,30,0
2025-08-03,6236.7,6402.1,6224.1,6399.1,316961,30,0
2025-08-10,6399.3,6486.5,6364.1,6445.6,222083,30,0
2025-08-17,6452.1,6479.1,6343.8,6467.2,290462,30,0
2025-08-24,6472.0,6509.0,6415.0,6463.4,214023,30,0
2025-08-31,6468.3,6531.9,6360.2,6479.2,271641,0,0
2025-09-07,6479.2,6600.9,6472.5,6583.7,182547,30,0
2025-09-14,6585.8,6673.5,6550.2,6660.9,271118,30,0
2025-09-21,6660.4,6699.6,6568.9,6644.4,242073,30,0
2025-09-28,6648.2,6751.6,6628.3,6714.2,234990,30,0
2025-10-05,6725.2,6765.8,6502.0,6507.2,298077,30,0
2025-10-12,6621.4,6725.3,6533.8,6673.0,710807,30,0
2025-10-19,6687.1,6807.1,6654.0,6791.4,364973,30,0
2025-10-26,6849.2,6922.5,6812.9,6840.8,401498,30,0
2025-11-02,6849.2,6879.7,6630.8,6740.5,600106,0,0
2025-11-09,6770.0,6812.3,6747.1,6801.7,51829,30,0
