time,open,high,low,close,tick_volume,spread,real_volume
2024-11-17,0.8864,0.89577,0.8801,0.89416,321291,2,0
2024-11-24,0.88929,0.89169,0.87855,0.8807,361276,2,0
2024-12-01,0.87913,0.88897,0.87269,0.87862,313662,2,0
2024-12-08,0.87722,0.89458,0.87587,0.89287,274284,2,0
2024-12-15,0.88968,0.90218,0.88956,0.89307,312773,2,0
2024-12-22,0.89144,0.90275,0.89071,0.90127,150514,2,0
2024-12-29,0.89988,0.91372,0.89964,0.9084,177947,2,0
2025-01-05,0.90858,0.91885,0.90082,0.91631,289764,2,0
2025-01-12,0.9149,0.92014,0.90787,0.91474,274447,2,0
2025-01-19,0.91208,0.91521,0.90274,0.90588,302820,2,0
2025-01-26,0.90192,0.91159,0.89651,0.91124,283397,2,0
2025-02-02,0.91424,0.91966,0.90005,0.90981,294813,2,0
2025-02-09,0.91046,0.91558,0.89721,0.89961,224471,2,0
2025-02-16,0.89712,0.90545,0.89668,0.89736,191397,2,0
2025-02-23,0.896,0.90361,0.89119,0.903,250491,2,0
2025-03-02,0.9009,0.90311,0.8767,0.87938,378533,2,0
2025-03-09,0.879,0.88637,0.8758,0.88489,302258,2,0
2025-03-16,0.88402,0.88533,0.87539,0.88321,232626,2,0
2025-03-23,0.88225,0.88504,0.87994,0.88071,203605,0,0
2025-03-30,0.87843,0.88552,0.84765,0.85993,385786,0,0
2025-04-06,0.85128,0.86739,0.8099,0.81492,726615,0,0
2025-04-13,0.81961,0.82683,0.81143,0.81572,645085,0,0
2025-04-20,0.81538,0.83344,0.80394,0.82791,401982,0,0
2025-04-27,0.83133,0.83332,0.81935,0.8263,335639,0,0
2025-05-04,0.82471,0.8341,0.81858,0.83118,337151,0,0
2025-05-11,0.83524,0.84761,0.83245,0.83714,358216,0,0
2025-05-18,0.83513,0.83658,0.82046,0.82127,364462,0,0
2025-05-25,0.82012,0.83478,0.81878,0.82272,313852,0,0
2025-06-01,0.82281,0.82499,0.81568,0.82173,322433,0,0
2025-06-08,0.82048,0.82419,0.80559,0.81091,311880,0,0
2025-06-15,0.81033,0.82153,0.80889,0.81725,311159,3,0
2025-06-22,0.81635,0.8195,0.79575,0.79815,322605,2,0
2025-06-29,0.79791,0.79944,0.78721,0.79322,295956,1,0
2025-07-06,0.7928,0.79948,0.79084,0.79599,212212,0,0
2025-07-13,0.797,0.8064,0.7947,0.80155,237829,0,0
2025-07-20,0.79905,0.80224,0.7909,0.79442,232822,0,0
2025-07-27,0.79532,0.81714,0.79445,0.80382,307570,0,0
2025-08-03,0.80299,0.81181,0.80247,0.80743,349591,0,0
2025-08-10,0.80665,0.81319,0.80219,0.80599,325716,0,0
2025-08-17,0.80455,0.8104,0.80002,0.80092,289088,0,0
2025-08-24,0.80045,0.80763,0.79856,0.80028,267029,0,0
2025-08-31,0.79855,0.8072,0.7956,0.79767,296616,0,0
2025-09-07,0.7975,0.80077,0.79154,0.79645,282019,0,0
2025-09-14,0.7961,0.79728,0.78292,0.79538,266210,0,0
2025-09-21,0.79328,0.8014,0.79019,0.79786,285504,0,0
2025-09-28,0.79702,0.80002,0.79284,0.79481,262002,0,0
2025-10-05,0.79533,0.80762,0.79414,0.79853,302226,0,0
2025-10-12,0.8003,0.80581,0.7873,0.79318,305882,0,0
2025-10-19,0.7909,0.79871,0.79015,0.79512,208122,0,0
2025-10-26,0.79631,0.80522,0.79222,0.80437,219164,0,0
2025-11-02,0.80245,0.81246,0.80245,0.80463,196029,0,0
2025-11-09,0.80431,0.80728,0.80415,0.80628,36179,2,0
