time,open,high,low,close,tick_volume,spread,real_volume
2024-12-29,7.19766,7.29502,7.187,7.2343399999999995,199144,65,0
2025-01-05,7.23551,7.30404,7.14663,7.28122,566898,65,0
2025-01-12,7.27635,7.32991,7.1994299999999996,7.26422,568080,65,0
2025-01-19,7.24575,7.2668099999999995,7.09124,7.11033,539481,65,0
2025-01-26,7.11529,7.20948,7.08429,7.20224,461399,66,0
2025-02-02,7.2677,7.30704,7.14315,7.22162,527380,66,0
2025-02-09,7.24745,7.25079,7.09377,7.11065,429257,66,0
2025-02-16,7.11046,7.17095,7.09146,7.12767,357583,66,0
2025-02-23,7.10628,7.19815,7.08317,7.18781,462108,66,0
2025-03-02,7.15709,7.17849,6.8497,6.88291,643764,66,0
2025-03-09,6.87852,6.9022,6.81273,6.85611,518504,66,0
2025-03-16,6.85224,6.90811,6.80689,6.89891,392599,66,0
2025-03-23,6.89375,6.95013,6.8692,6.88796,427020,0,0
2025-03-30,6.88687,6.9224499999999995,6.69379,6.80327,635480,0,0
2025-04-06,6.84468,6.85623,6.50858,6.57279,1092995,0,0
2025-04-13,6.58622,6.6267,6.53425,6.5505700000000004,600076,0,0
2025-04-20,6.54759,6.60282,6.45099,6.57148,635605,0,0
2025-04-27,6.56202,6.62418,6.53191,6.60354,503010,0,0
2025-05-04,6.59593,6.66309,6.55533,6.6304,545454,0,0
2025-05-11,6.6586,6.74095,6.62117,6.68132,542788,0,0
2025-05-18,6.66705,6.6780100000000004,6.55687,6.56302,532203,0,0
2025-05-25,6.5596499999999995,6.65255,6.53219,6.57202,473967,66,0
2025-06-01,6.56251,6.57266,6.48849,6.54625,530579,66,0
2025-06-08,6.53608,6.55923,6.41188,6.4543,511062,66,0
2025-06-15,6.46601,6.51632,6.4206900000000005,6.47219,504882,66,0
2025-06-22,6.50725,6.51248,6.34705,6.36416,523313,66,0
2025-06-29,6.35652,6.37217,6.30631,6.33246,422773,66,0
2025-07-06,6.32672,6.39718,6.3251,6.37978,421885,37,0
2025-07-13,6.38533,6.45674,6.3668,6.42193,439676,66,0
2025-07-20,6.40843,6.42649,6.33141,6.35627,404671,43,0
2025-07-27,6.34302,6.55077,6.34003,6.43947,531415,56,0
2025-08-03,6.43157,6.47363,6.37833,6.41102,473897,43,0
2025-08-10,6.40359,6.43856,6.36137,6.37551,427081,66,0
2025-08-17,6.3665,6.44403,6.35633,6.36665,379398,40,0
2025-08-24,6.36372,6.4492,6.3624,6.38631,359000,40,0
2025-08-31,6.37951,6.42863,6.3478,6.37017,430667,40,0
2025-09-07,6.36873,6.39878,6.33847,6.36165,434822,40,0
2025-09-14,6.35497,6.3706,6.26256,6.35418,395465,40,0
2025-09-21,6.345,6.40859,6.31463,6.37823,407969,40,0
2025-09-28,6.37394,6.39098,6.33728,6.35679,381900,40,0
2025-10-05,6.35879,6.46887,6.35753,6.42187,448050,40,0
2025-10-12,6.41838,6.46974,6.36832,6.40865,456151,40,0
2025-10-19,6.39803,6.45174,6.396,6.42254,356273,40,0
2025-10-26,6.4171,6.48127,6.40018,6.47143,339941,40,0
2025-11-02,6.47211,6.50934,6.44149,6.45654,312553,40,0
2025-11-09,6.45668,6.46946,6.44651,6.46349,52421,40,0
