time,open,high,low,close,tick_volume,spread,real_volume
2024-12-29,397.022,405.085,396.131,403.043,233726,50,0
2025-01-05,402.238,405.118,396.569,403.26,702035,50,0
2025-01-12,401.481,406.66,396.036,401.305,748530,50,0
2025-01-19,400.143,402.13,387.372,387.796,790563,50,0
2025-01-26,387.801,394.418,387.341,393.546,948046,58,0
2025-02-02,398.14,400.633,388.615,391.907,777279,58,0
2025-02-09,393.234,393.907,381.608,382.624,874369,58,0
2025-02-16,382.175,387.437,381.283,384.808,704688,58,0
2025-02-23,382.988,393.183,378.903,388.115,880717,58,0
2025-03-02,385.339,387.98,365.441,367.008,1289040,56,0
2025-03-09,366.068,370.253,365.171,366.309,1185867,55,0
2025-03-16,366.006,369.691,362.651,367.475,772045,55,0
2025-03-23,366.328,374.841,365.872,371.26,861930,0,0
2025-03-30,369.37,373.808,358.97,370.28,535863,0,0
2025-04-06,371.73,374.725,356.638,360.81,795889,0,0
2025-04-13,360.39,362.715,356.88,356.97,606707,0,0
2025-04-20,356.56,361.08,351.94,356.86,714734,0,0
2025-04-27,355.67,358.832,353.597,357.89,727641,0,0
2025-05-04,356.42,362.238,355.09,358.83,947578,0,0
2025-05-11,359.894,366.68,358.712,360.58,709414,0,0
2025-05-18,359.222,360.486,354.006,354.902,1157678,0,0
2025-05-25,354.358,359.639,353.115,355.555,970766,103,0
2025-06-01,355.18,355.926,350.97,354.037,636251,103,0
2025-06-08,352.921,353.894,344.588,348.397,732452,30,0
2025-06-15,348.706,352.609,344.857,348.815,734444,101,0
2025-06-22,350.5,352.794,339.324,339.927,693806,100,0
2025-06-29,339.059,341.457,337.138,337.874,661170,100,0
2025-07-06,337.518,343.178,337.428,341.35,596119,100,0
2025-07-13,341.798,345.492,340.751,343.139,630125,100,0
2025-07-20,342.375,343.426,336.848,337.582,628351,100,0
2025-07-27,336.42,351.22,336.341,343.416,710331,101,0
2025-08-03,341.5,346.518,338.546,339.286,715047,101,0
2025-08-10,338.434,341.463,336.44,336.761,600029,100,0
2025-08-17,336.073,342.927,335.967,336.938,534683,100,0
2025-08-24,335.19,343.054,335.19,339.013,485957,100,0
2025-08-31,338.623,341.23,333.482,334.572,575372,100,0
2025-09-07,334.332,337.242,331.807,332.577,547775,100,0
2025-09-14,331.022,333.708,326.651,332.188,556280,99,0
2025-09-21,331.832,336.95,328.796,333.657,501793,100,0
2025-09-28,333.073,334.523,329.899,330.167,480514,100,0
2025-10-05,329.743,339.092,329.696,336.798,589751,100,0
2025-10-12,335.992,340.541,332.397,333.75,621609,101,0
2025-10-19,333.159,337.059,332.854,335.184,541315,101,0
2025-10-26,334.235,336.866,332.483,335.993,518321,101,0
2025-11-02,335.641,338.741,331.679,332.159,491459,101,0
2025-11-09,331.93,333.304,330.934,331.918,99832,102,0
