time,open,high,low,close,tick_volume,spread,real_volume
2024-12-29,1.36433,1.37289,1.3600400000000001,1.3691,97818,3,0
2025-01-05,1.36902,1.37487,1.35513,1.3715,282001,3,0
2025-01-12,1.37104,1.37507,1.36317,1.36806,285975,3,0
2025-01-19,1.36547,1.3689,1.3443100000000001,1.34593,379072,3,0
2025-01-26,1.34463,1.3599,1.34199,1.35768,421934,3,0
2025-02-02,1.36598,1.36996,1.34569,1.35388,475006,3,0
2025-02-09,1.35434,1.35827,1.33793,1.33906,377934,3,0
2025-02-16,1.33866,1.34452,1.33189,1.33518,309758,3,0
2025-02-23,1.33465,1.3521,1.3311600000000001,1.35069,372637,3,0
2025-03-02,1.34986,1.35079,1.32802,1.32993,473160,3,0
2025-03-09,1.3281399999999999,1.33765,1.3278400000000001,1.33252,358031,3,0
2025-03-16,1.33198,1.3376299999999999,1.32822,1.33551,270062,3,0
2025-03-23,1.33405,1.3431600000000001,1.33375,1.34043,304694,0,0
2025-03-30,1.33915,1.35008,1.3307,1.34466,510230,0,0
2025-04-06,1.34436,1.35504,1.3155700000000001,1.31673,819318,0,0
2025-04-13,1.3165,1.3209,1.30925,1.31032,546156,0,0
2025-04-20,1.30964,1.31689,1.3008899999999999,1.31406,432532,0,0
2025-04-27,1.3128,1.31664,1.28875,1.2968899999999999,366154,0,0
2025-05-04,1.29915,1.30289,1.2861500000000001,1.2971300000000001,388122,0,0
2025-05-11,1.29541,1.30861,1.29426,1.29932,365556,0,0
2025-05-18,1.29858,1.30002,1.2837399999999999,1.2842,287621,0,0
2025-05-25,1.28395,1.29802,1.28011,1.28976,319589,0,0
2025-06-01,1.28997,1.29195,1.28172,1.28838,353488,0,0
2025-06-08,1.28647,1.28958,1.27625,1.28101,315477,0,0
2025-06-15,1.28117,1.2893,1.27755,1.28594,299372,3,0
2025-06-22,1.28816,1.29404,1.27157,1.2754400000000001,392525,3,0
2025-06-29,1.27465,1.2785,1.26975,1.27378,295275,3,0
2025-07-06,1.27344,1.28208,1.27341,1.28015,243434,3,0
2025-07-13,1.28055,1.28811,1.27868,1.2849599999999999,250429,3,0
2025-07-20,1.2837,1.28563,1.2746,1.2803,250005,3,0
2025-07-27,1.2799,1.30004,1.27972,1.2883499999999999,331967,3,0
2025-08-03,1.28805,1.29013,1.28183,1.2842799999999999,337043,3,0
2025-08-10,1.2835,1.28777,1.27854,1.28201,302543,3,0
2025-08-17,1.28114,1.29014,1.2799800000000001,1.28107,243572,1,0
2025-08-24,1.2800500000000001,1.28975,1.2800500000000001,1.28311,259540,1,0
2025-08-31,1.28135,1.29063,1.28135,1.28384,280171,1,0
2025-09-07,1.2833,1.28619,1.27946,1.2817,315190,1,0
2025-09-14,1.28186,1.28568,1.27119,1.28402,333681,1,0
2025-09-21,1.28301,1.29509,1.28106,1.29121,295989,1,0
2025-09-28,1.2911299999999999,1.29278,1.28624,1.28838,252334,1,0
2025-10-05,1.28933,1.30074,1.28882,1.29616,308923,1,0
2025-10-12,1.29501,1.3017699999999999,1.29157,1.29491,318128,1,0
2025-10-19,1.29392,1.3001,1.29265,1.29804,256453,1,0
2025-10-26,1.29581,1.30285,1.29241,1.3003,277078,1,0
2025-11-02,1.29986,1.30858,1.29923,1.30094,224646,1,0
2025-11-09,1.3005,1.30342,1.30049,1.3030300000000001,28344,1,0
