time,open,high,low,close,tick_volume,spread,real_volume
2024-11-17,20415.48,20833.83,20309.14,20807.17,1254673,80,0
2024-11-24,20878.01,21020.58,20620.03,20940.7,865434,80,0
2024-12-01,20959.5,21633.78,20898.87,21600.58,883387,80,0
2024-12-08,21608.15,21889.32,21328.66,21745.5,894858,67,0
2024-12-15,21771.74,22142.32,20710.92,21250.82,1275020,0,0
2024-12-22,21329.38,21832.49,21188.7,21444.26,809809,55,0
2024-12-29,21467.19,21477.94,20731.14,21232.79,976962,5,0
2025-01-05,21297.12,21654.82,20648.06,20766.11,1154709,0,0
2025-01-12,20771.95,21475.01,20477.55,21382.53,1257170,80,0
2025-01-19,21422.39,21909.5,21192.22,21726.83,1004483,30,0
2025-01-26,21566.62,21813.05,20599.34,21407.73,1384237,0,0
2025-02-02,20856.36,21840.14,20835.86,21450.44,1280966,0,0
2025-02-09,21347.35,22135.4,21344.6,22120.4,1267056,0,0
2025-02-16,22143.3,22237.7,21583.3,21587.6,1155139,30,0
2025-02-23,21644.2,21746.8,20407.5,20854.1,1814335,0,0
2025-03-02,20933.5,21074.6,19726.9,20167.1,2063169,0,0
2025-03-09,20043.5,20119.4,19111.4,19641.0,2024638,0,0
2025-03-16,19629.58,19940.35,19379.85,19758.25,1594190,0,0
2025-03-23,19847.75,20332.35,19175.25,19176.85,1614872,0,0
2025-03-30,19135.51,19871.85,17220.15,17331.5,2151769,0,0
2025-04-06,16800.8,19245.8,16313.25,18677.35,2458172,0,0
2025-04-13,18970.3,19117.15,17979.25,18295.5,1641543,0,0
2025-04-20,18178.06,19463.45,17580.1,19440.4,1932217,0,0
2025-04-27,19401.75,20175.1,18998.05,20102.15,1890502,0,0
2025-05-04,20096.5,20252.25,19588.85,20062.45,1864091,0,0
2025-05-11,20366.69,21445.15,20296.55,21319.7,1749552,65,0
2025-05-18,21227.33,21487.65,20657.95,20885.85,1783493,0,0
2025-05-25,20902.35,21806.35,20896.3,21315.8,1573908,0,0
2025-06-01,21252.45,21889.55,21118.0,21773.45,1643889,0,0
2025-06-08,21768.3,22106.35,21446.55,21629.7,1711484,0,0
2025-06-15,21556.3,21981.8,21420.7,21655.1,1414951,80,0
2025-06-22,21404.2,22602.9,21392.7,22522.3,1350566,0,0
2025-06-29,22557.9,22900.9,22373.7,22707.7,1039993,70,0
2025-07-06,22774.2,22917.1,22584.3,22752.4,1209958,0,0
2025-07-13,22657.7,23150.2,22627.0,23059.3,1183661,0,0
2025-07-20,23065.1,23330.7,22953.8,23300.8,1048446,90,0
2025-07-27,23405.3,23709.1,22660.1,22747.3,1308926,0,0
2025-08-03,22756.6,23663.6,22706.1,23662.2,1346546,0,0
2025-08-10,23657.0,23967.7,23484.3,23708.0,1155404,10,0
2025-08-17,23733.5,23794.2,22955.0,23509.0,1364380,0,0
2025-08-24,23526.5,23740.5,23305.1,23408.2,1207086,50,0
2025-08-31,23430.8,23862.9,22981.1,23636.7,1265194,90,0
2025-09-07,23647.4,24137.9,23617.3,24092.8,1170970,0,0
2025-09-14,24097.7,24643.1,23993.3,24614.3,1235170,90,0
2025-09-21,24609.4,24783.7,24184.0,24500.8,1333745,60,0
2025-09-28,24516.5,24986.0,24412.5,24774.2,1340959,90,0
2025-10-05,24821.7,25200.0,23970.1,23998.5,1384179,90,0
2025-10-12,24527.9,25006.5,24242.4,24865.0,2086997,0,0
2025-10-19,24925.6,25419.3,24643.4,25360.3,1519433,90,0
2025-10-26,25607.4,26258.9,25553.8,25848.0,1573635,60,0
2025-11-02,25892.8,26131.1,24600.0,25121.0,2064146,0,0
2025-11-09,25270.3,25560.8,25163.2,25527.1,229708,90,0
