time,open,high,low,close,tick_volume,spread,real_volume
2025-05-04,22.44,23.45,21.95,22.1,24549,6,0
2025-05-11,21.91,21.94,19.45,20.0,10732,6,0
2025-05-18,20.26,22.75,20.04,22.3,21787,6,0
2025-05-25,22.26,22.26,20.04,21.0,13684,6,0
2025-06-01,21.11,21.69,19.95,20.85,12811,6,0
2025-06-08,20.14,23.11,19.32,21.6,21258,6,0
2025-06-15,21.94,22.04,20.05,20.99,25834,6,0
2025-06-22,21.98,22.33,18.59,18.84,14829,8,0
2025-06-29,18.83,20.43,17.99,18.76,6713,8,0
2025-07-06,18.48,20.39,16.73,19.24,11258,8,0
2025-07-13,17.4,20.44,17.28,19.09,9726,8,0
2025-07-20,19.03,19.39,17.79,17.89,6210,8,0
2025-07-27,17.73,20.44,16.98,19.69,19318,8,0
2025-08-03,19.75,20.59,16.79,16.79,17175,8,0
2025-08-10,16.68,20.63,15.43,15.74,10750,8,0
2025-08-17,15.8,20.49,15.53,16.94,16154,6,0
2025-08-24,16.93,19.33,16.53,17.04,10758,8,0
2025-08-31,17.03,20.24,16.09,16.74,16955,8,0
2025-09-07,16.73,19.88,15.39,19.24,9510,3,0
2025-09-14,15.63,19.64,15.38,17.69,9508,8,0
2025-09-21,17.68,19.89,17.44,17.44,12181,8,0
2025-09-28,17.53,19.53,17.18,17.79,9070,8,0
2025-10-05,17.73,21.19,17.43,20.84,20931,8,0
2025-10-12,21.23,27.85,18.63,20.89,60223,8,0
2025-10-19,20.63,21.03,18.34,18.64,17492,8,0
2025-10-26,18.2,19.59,17.73,19.09,17727,8,0
2025-11-02,19.0,21.64,18.64,19.74,31899,6,0
2025-11-09,19.5,19.53,18.44,18.59,1728,8,0
