time,open,high,low,close,tick_volume,spread,real_volume
2024-11-17,46.863,48.566,46.832,48.184,625365,6,0
2024-11-24,47.757,48.1,45.595,46.9,578168,5,0
2024-12-01,46.918,48.927,46.234,48.444,595437,5,0
2024-12-08,48.447,50.534,47.667,48.041,596401,5,0
2024-12-15,47.994,48.361,45.937,47.21,537601,5,0
2024-12-22,47.214,48.087,47.156,47.246,294687,5,0
2024-12-29,47.161,48.083,46.323,47.65,352572,5,0
2025-01-05,47.715,49.733,47.201,49.454,530850,5,0
2025-01-12,49.453,49.751,47.611,48.967,495742,5,0
2025-01-19,48.865,49.398,47.974,48.458,495340,5,0
2025-01-26,48.327,51.016,47.326,50.411,569494,5,0
2025-02-02,50.986,51.911,49.999,50.655,653307,5,0
2025-02-09,50.778,52.625,49.774,50.58,555588,5,0
2025-02-16,50.605,52.101,50.211,51.108,504787,5,0
2025-02-23,51.162,51.381,49.446,50.138,651730,5,0
2025-03-02,50.335,51.772,50.037,51.523,796047,5,0
2025-03-09,51.582,54.005,50.74,53.323,723077,5,0
2025-03-16,53.436,53.806,52.075,52.646,561800,5,0
2025-03-23,52.569,54.893,52.365,54.187,543669,5,0
2025-03-30,54.362,55.02,48.631,48.847,930058,5,0
2025-04-06,48.373,51.808,47.225,51.266,1411843,5,0
2025-04-13,51.008,52.146,50.352,50.884,630513,5,0
2025-04-20,50.997,52.977,50.237,51.701,732866,5,0
2025-04-27,51.677,52.348,49.541,49.624,612672,5,0
2025-05-04,49.672,51.366,49.503,51.007,600545,4,0
2025-05-11,50.682,51.828,49.319,50.364,635012,5,0
2025-05-18,50.419,52.259,49.901,51.484,563152,5,0
2025-05-25,51.446,51.978,50.774,51.207,492827,4,0
2025-06-01,51.343,55.929,51.041,55.423,579116,4,0
2025-06-08,55.522,56.525,54.71,55.951,625423,4,0
2025-06-15,56.046,57.421,54.755,55.734,607711,4,0
2025-06-22,55.849,56.8,54.358,55.038,663388,4,0
2025-06-29,55.117,56.421,54.217,56.373,481961,4,0
2025-07-06,56.452,58.559,55.487,58.327,588322,4,0
2025-07-13,58.66,59.578,57.686,58.66,581752,15,0
2025-07-20,58.566,60.057,57.897,58.096,587096,15,0
2025-07-27,57.98,58.828,56.236,57.196,657410,15,0
2025-08-03,57.207,59.04,56.614,58.717,602963,15,0
2025-08-10,58.764,59.093,57.563,58.314,557050,15,0
2025-08-17,58.347,60.176,57.453,59.814,523028,15,0
2025-08-24,59.87,61.057,58.835,60.604,534097,15,0
2025-08-31,60.709,63.331,60.397,62.485,811420,15,0
2025-09-07,62.395,63.9,61.771,63.392,739459,15,0
2025-09-14,63.517,65.357,61.61,65.279,682803,15,0
2025-09-21,65.348,71.199,65.246,70.341,801393,15,0
2025-09-28,70.584,73.171,69.31,72.626,920509,15,0
2025-10-05,72.898,78.01,71.853,77.197,1009818,9,0
2025-10-12,77.047,84.161,76.693,79.46,1262454,14,0
2025-10-19,79.148,81.283,72.928,74.511,1384979,31,0
2025-10-26,73.768,75.504,69.556,74.269,1123540,30,0
2025-11-02,74.295,75.347,72.259,74.342,977076,30,0
2025-11-09,74.547,76.812,74.471,76.702,164033,31,0
