time,open,high,low,close,tick_volume,spread,real_volume
2024-11-17,28.732,30.182,28.714,30.058,473927,4,0
2024-11-24,29.86,30.041,28.077,28.929,441976,4,0
2024-12-01,28.948,29.888,28.551,29.298,460361,4,0
2024-12-08,29.337,30.769,28.878,29.09,459429,4,0
2024-12-15,29.078,29.28,27.652,28.301,415725,4,0
2024-12-22,28.112,28.707,28.112,28.164,211048,4,0
2024-12-29,28.081,29.051,27.671,28.738,271564,4,0
2025-01-05,28.643,29.891,28.504,29.66,416775,4,0
2025-01-12,29.694,30.042,28.778,29.527,380352,4,0
2025-01-19,29.402,29.712,28.897,29.159,357731,3,0
2025-01-26,29.049,30.556,28.321,30.221,411002,3,0
2025-02-02,30.656,31.454,29.975,30.768,495740,3,0
2025-02-09,30.786,31.838,30.281,30.634,430134,3,0
2025-02-16,30.642,31.793,30.419,31.055,373182,3,0
2025-02-23,30.969,31.273,29.6,30.018,469621,3,0
2025-03-02,29.852,30.371,29.585,30.001,562150,3,0
2025-03-09,29.885,31.345,29.323,31.009,534012,3,0
2025-03-16,31.109,31.391,30.156,30.538,411995,3,0
2025-03-23,30.358,32.074,30.358,31.48,397811,3,0
2025-03-30,31.535,31.834,26.686,26.959,688697,3,0
2025-04-06,26.496,28.573,25.732,28.414,962868,3,0
2025-04-13,28.475,29.145,27.954,28.619,447484,3,0
2025-04-20,28.311,29.729,28.062,29.113,564772,3,0
2025-04-27,29.094,29.417,27.977,28.314,464301,3,0
2025-05-04,28.29,29.294,28.228,29.082,460044,3,0
2025-05-11,28.818,29.884,28.261,28.897,486273,3,0
2025-05-18,28.893,29.744,28.504,29.446,431013,3,0
2025-05-25,29.37,29.671,28.83,29.041,365710,3,0
2025-06-01,29.075,31.88,28.992,31.585,441152,3,0
2025-06-08,31.604,32.275,30.801,31.428,464930,3,0
2025-06-15,31.492,32.43,30.826999999999998,31.213,446554,3,0
2025-06-22,31.332,31.608,30.443,30.686,492702,3,0
2025-06-29,30.658,31.421,30.209,31.362,354771,3,0
2025-07-06,31.324,32.958,30.828,32.827,428027,0,0
2025-07-13,32.795,33.514,32.376,32.864,457300,0,0
2025-07-20,32.747,33.708,32.353,32.495,443593,0,0
2025-07-27,32.164,33.213,31.655,31.934,489549,9,0
2025-08-03,31.931,33.056,31.725,32.892,419631,9,0
2025-08-10,32.839,33.093,32.189,32.439,379230,9,0
2025-08-17,32.438,33.316,31.736,33.142,352661,9,0
2025-08-24,33.151,34.154,32.848,33.926,362914,9,0
2025-08-31,33.942,35.51,33.806,34.959,584195,9,0
2025-09-07,34.928,36.238,34.606,35.93,541053,9,0
2025-09-14,35.907,36.676,34.715,36.658,491281,9,0
2025-09-21,36.682,39.853,36.635,39.346,576586,9,0
2025-09-28,39.413,41.176,38.971,40.846,698785,9,0
2025-10-05,40.967,44.176,40.531,43.048,795916,6,0
2025-10-12,43.382,46.487,43.011,44.295,1015147,8,0
2025-10-19,44.143,45.282,40.786,41.739,1139264,18,0
2025-10-26,41.695,42.7,39.095,42.139,883693,18,0
2025-11-02,42.026,42.583,40.777,41.758,744809,18,0
2025-11-09,41.655,43.376,41.272,43.307,129572,18,0
