time,open,high,low,close,tick_volume,spread,real_volume
2024-11-17,30.275,31.533,30.251,31.324,399627,5,0
2024-11-24,31.283,31.468,29.637,30.603,348959,5,0
2024-12-01,30.591,31.475,30.052,30.962,372324,5,0
2024-12-08,30.992,32.343,30.285,30.553,374270,5,0
2024-12-15,30.535,30.751,28.738,29.511,322653,5,0
2024-12-22,29.345,29.886,29.311,29.372,168370,5,0
2024-12-29,29.299,29.891,28.767,29.623,207879,5,0
2025-01-05,29.524,30.656,29.404,30.385,319812,5,0
2025-01-12,30.426,30.964,29.501,30.326,273355,5,0
2025-01-19,30.23,31.02,29.982,30.6,245846,5,0
2025-01-26,30.46,31.726,29.698,31.305,298193,5,0
2025-02-02,31.431,32.645,30.678,31.783,374336,5,0
2025-02-09,31.701,33.392,31.249,32.138,326853,5,0
2025-02-16,32.151,33.207,31.909,32.492,290422,5,0
2025-02-23,32.444,32.757,30.803,31.141,368637,5,0
2025-03-02,31.057,32.761,31.056,32.505,424185,5,0
2025-03-09,32.409,34.075,31.802,33.741,438718,5,0
2025-03-16,33.859,34.232,32.659,33.02,337491,5,0
2025-03-23,32.862,34.578,32.862,34.095,324630,0,0
2025-03-30,34.117,34.464,29.185,29.56,550169,5,0
2025-04-06,28.95,32.279,28.218,32.267,707280,5,0
2025-04-13,32.244,33.109,31.733,32.522,320338,5,0
2025-04-20,32.342,33.679,32.088,33.072,430642,5,0
2025-04-27,33.066,33.53,31.667,31.997,359737,5,0
2025-05-04,32.002,33.252,31.972,32.717,361774,5,0
2025-05-11,32.34,33.224,31.651,32.267,390901,5,0
2025-05-18,32.298,33.695,32.122,33.467,334201,5,0
2025-05-25,33.391,33.561,32.689,32.956,274572,5,0
2025-06-01,33.016,36.331,32.954,35.986,355448,5,0
2025-06-08,36.02,36.884,35.444,36.309,382123,5,0
2025-06-15,36.343,37.309,35.504,35.967,358675,5,0
2025-06-22,35.965,36.828,35.276,35.967,400577,4,0
2025-06-29,35.96,37.072,35.414,36.927,279636,5,0
2025-07-06,36.904,38.528,36.15,38.324,359640,0,0
2025-07-13,38.332,39.126,37.499,38.205,344420,0,0
2025-07-20,37.931,39.526,37.918,38.15,373765,2,0
2025-07-27,37.853,38.327,36.204,37.001,386709,12,0
2025-08-03,37.024,38.501,36.665,38.291,329259,12,0
2025-08-10,38.256,38.731,37.49,37.971,303909,12,0
2025-08-17,38.005,39.059,36.953,38.855,277692,12,0
2025-08-24,38.87,39.964,38.073,39.654,293651,12,0
2025-08-31,39.699,41.456,39.509,40.97,543448,12,0
2025-09-07,40.944,42.46,40.521,42.153,490032,12,0
2025-09-14,42.137,43.075,41.106,43.053,439695,12,0
2025-09-21,43.098,46.624,43.017,46.043,535304,12,0
2025-09-28,46.135,48.368,45.797,47.964,665516,12,0
2025-10-05,48.053,51.243,47.333,49.978,772020,8,0
2025-10-12,50.196,54.453,50.013,51.609,1021075,12,0
2025-10-19,51.49,52.764,47.32,48.536,1138288,22,0
2025-10-26,48.516,49.353,45.538,48.621,860350,22,0
2025-11-02,48.481,49.093,46.828,48.293,715686,22,0
2025-11-09,48.158,50.187,47.718,50.03,126164,22,0
