time,open,high,low,close,tick_volume,spread,real_volume
2024-11-17,2272.46,2428.63,2270.33,2427.94,1110299,7,0
2024-11-24,2417.3,2422.95,2311.08,2332.53,1094330,7,0
2024-12-01,2332.21,2354.18,2295.78,2313.06,1051713,7,0
2024-12-08,2321.22,2417.07,2308.82,2364.96,1045832,7,0
2024-12-15,2363.0,2380.94,2322.09,2342.02,1032023,10,0
2024-12-22,2330.02,2376.37,2329.6,2362.43,561432,13,0
2024-12-29,2354.17,2430.99,2350.95,2397.45,666907,13,0
2025-01-05,2397.37,2473.66,2365.3,2463.54,991032,9,0
2025-01-12,2463.06,2485.34,2435.0,2471.69,1030055,8,0
2025-01-19,2468.83,2523.83,2450.86,2510.39,1094871,8,0
2025-01-26,2507.52,2562.89,2460.78,2548.79,1086331,11,0
2025-02-02,2550.33,2623.79,2542.08,2602.82,1203398,12,0
2025-02-09,2595.25,2681.87,2587.28,2593.02,1136003,12,0
2025-02-16,2589.96,2666.8,2579.13,2634.45,923772,12,0
2025-02-23,2624.48,2656.51,2555.32,2581.59,1179500,12,0
2025-03-02,2577.07,2609.45,2550.48,2560.28,1282465,12,0
2025-03-09,2558.48,2658.59,2529.87,2642.32,1045766,12,0
2025-03-16,2640.34,2688.88,2633.0,2669.17,869890,12,0
2025-03-23,2654.97,2722.72,2652.92,2715.89,911326,12,0
2025-03-30,2711.46,2780.71,2578.47,2610.31,1422665,12,0
2025-04-06,2564.75,2677.01,2506.16,2636.58,1995307,13,0
2025-04-13,2636.26,2740.81,2597.83,2724.8,1145098,13,0
2025-04-20,2708.04,2830.78,2690.78,2746.86,1565579,13,0
2025-04-27,2750.75,2758.79,2651.3,2676.61,1224854,13,0
2025-05-04,2663.66,2823.15,2663.66,2764.59,1318842,13,0
2025-05-11,2738.88,2750.77,2621.84,2676.69,1332266,12,0
2025-05-18,2682.14,2768.59,2672.06,2756.18,1264554,13,0
2025-05-25,2750.2,2754.3,2693.95,2701.92,1105100,12,0
2025-06-01,2706.9,2787.91,2706.9,2720.84,1166370,13,0
2025-06-08,2718.43,2804.07,2704.65,2781.55,1216556,12,0
2025-06-15,2788.48,2802.44,2724.88,2752.7,1100847,13,0
2025-06-22,2763.98,2775.2,2598.26,2613.58,1115117,12,0
2025-06-29,2606.25,2664.83,2585.44,2647.42,879300,9,0
2025-07-06,2634.33,2683.74,2614.41,2670.51,906321,9,0
2025-07-13,2672.1,2693.68,2660.14,2684.86,890339,9,0
2025-07-20,2671.13,2731.23,2647.44,2650.33,921844,9,0
2025-07-27,2636.46,2706.08,2635.87,2702.48,1010198,9,0
2025-08-03,2700.09,2750.36,2698.08,2740.83,1181358,9,0
2025-08-10,2738.41,2749.3,2684.33,2688.12,1051368,9,0
2025-08-17,2685.12,2706.86,2673.29,2699.48,859485,5,0
2025-08-24,2697.97,2763.95,2696.63,2759.74,909526,5,0
2025-08-31,2751.39,2876.46,2746.33,2860.65,1258655,5,0
2025-09-07,2846.09,2917.37,2845.02,2900.76,1132442,5,0
2025-09-14,2897.7,2932.39,2869.2,2930.82,1114173,5,0
2025-09-21,2929.82,3020.32,2928.28,2999.91,1213431,5,0
2025-09-28,2992.78,3105.33,2992.78,3088.44,1294074,5,0
2025-10-05,3097.1,3258.49,3093.85,3203.43,1622301,5,0
2025-10-12,3194.81,3468.74,3183.66,3372.13,1763622,5,0
2025-10-19,3359.84,3471.29,3190.0,3268.55,1812527,5,0
2025-10-26,3230.32,3271.69,3086.51,3218.22,1714180,5,0
2025-11-02,3196.52,3255.79,3180.04,3218.23,1339755,0,0
2025-11-09,3217.15,3307.28,3217.04,3294.28,198170,6,0
