time,open,high,low,close,tick_volume,spread,real_volume
2024-11-17,71.05,75.5,70.84,75.19,115896,0,0
2024-11-24,75.33,75.41,72.22,72.83,109793,0,0
2024-12-01,72.38,74.73,71.28,71.45,108407,0,0
2024-12-08,71.45,74.88,71.33,74.61,90059,0,0
2024-12-15,74.59,74.73,72.19,73.19,90045,0,0
2024-12-22,73.04,74.38,72.21,73.88,54646,0,0
2024-12-29,73.81,77.09,73.75,76.93,61234,0,0
2025-01-05,76.89,81.0,75.96,79.93,99299,0,0
2025-01-12,80.04,82.82,79.83,81.09,155310,0,0
2025-01-19,81.03,81.52,78.4,78.91,119386,0,0
2025-01-26,78.82,79.38,76.37,77.79,108247,0,0
2025-02-02,78.31,78.48,75.19,75.74,129062,0,0
2025-02-09,75.47,78.11,74.47,74.91,93751,0,0
2025-02-16,74.96,77.31,74.25,74.41,88531,1,0
2025-02-23,74.24,75.17,72.34,73.42,89762,1,0
2025-03-02,73.29,74.0,68.64,70.65,146086,0,0
2025-03-09,70.31,71.43,68.84,70.71,100031,1,0
2025-03-16,71.09,72.56,70.0,72.22,80568,1,0
2025-03-23,71.66,73.48,71.3,72.36,78852,0,0
2025-03-30,72.64,75.27,63.87,65.77,173543,0,0
2025-04-06,64.24,67.17,58.21,64.29,371286,0,0
2025-04-13,64.4,67.43,63.23,66.97,110070,0,0
2025-04-20,66.71,67.69,64.45,65.88,136587,0,0
2025-04-27,65.85,66.43,59.24,61.36,156708,0,0
2025-05-04,59.53,64.02,58.38,63.71,127484,0,0
2025-05-11,63.93,66.48,63.17,64.9,110620,0,0
2025-05-18,64.74,65.98,62.8,64.41,120355,0,0
2025-05-25,64.38,65.37,61.94,62.55,104192,0,0
2025-06-01,62.79,66.36,62.79,66.3,104220,0,0
2025-06-08,66.28,76.25,65.71,73.57,190390,0,0
2025-06-15,77.71,79.14,70.82,77.29,228703,0,0
2025-06-22,80.57,80.69,66.84,67.45,188062,1,0
2025-06-29,67.3,70.08,66.87,69.29,79402,1,0
2025-07-06,68.37,71.35,68.04,71.2,91718,1,0
2025-07-13,71.25,72.0,68.12,69.56,100851,1,0
2025-07-20,69.46,69.86,68.19,68.38,101961,1,0
2025-07-27,68.36,73.54,68.34,70.15,107222,1,0
2025-08-03,69.7,70.55,66.0,66.59,111436,1,0
2025-08-10,66.54,67.51,65.34,66.44,83620,1,0
2025-08-17,65.98,68.1,65.51,67.88,78342,1,0
2025-08-24,67.89,69.04,66.9,67.94,67516,1,0
2025-08-31,67.84,69.94,65.43,65.95,79106,0,0
2025-09-07,66.1,68.41,65.85,67.11,76505,1,0
2025-09-14,67.06,68.84,66.54,66.74,74192,1,0
2025-09-21,66.71,70.44,65.99,69.31,68808,1,0
2025-09-28,69.1,69.47,64.47,64.79,89776,1,0
2025-10-05,65.4,66.91,62.51,62.54,89056,1,0
2025-10-12,63.33,64.22,60.34,61.53,113422,0,0
2025-10-19,61.47,66.85,60.21,65.92,115529,1,0
2025-10-26,66.5,66.54,63.98,65.2,103932,1,0
2025-11-02,65.52,65.81,63.26,64.08,93397,1,0
2025-11-09,64.11,64.66,63.79,64.11,11686,1,0
